Year,Week,State,Product,Begin Date,End Date,Price (�/100kg),country_codes
2015,53,Belgium,BUTTER,28/12/2015,03/01/2016,287.75,BEL
2015,53,Czechia,BUTTER,28/12/2015,03/01/2016,312.74,CZE
2015,53,Denmark,BUTTER,28/12/2015,03/01/2016,413.12,DNK
2015,53,Germany,BUTTER,28/12/2015,03/01/2016,319,DEU
2015,53,Ireland,BUTTER,28/12/2015,03/01/2016,278.99,IRL
2015,53,Spain,BUTTER,28/12/2015,03/01/2016,294,ESP
2015,53,Croatia,BUTTER,28/12/2015,03/01/2016,384.82,HRV
2015,53,Italy,BUTTER,28/12/2015,03/01/2016,280,ITA
2015,53,Latvia,BUTTER,28/12/2015,03/01/2016,266,LVA
2015,53,Netherlands,BUTTER,28/12/2015,03/01/2016,275,NLD
2015,53,Poland,BUTTER,28/12/2015,03/01/2016,287.3,POL
2015,53,Slovakia,BUTTER,28/12/2015,03/01/2016,380.46,SVK
2015,52,Belgium,BUTTER,21/12/2015,27/12/2015,286.43,BEL
2015,52,Czechia,BUTTER,21/12/2015,27/12/2015,320.26,CZE
2015,52,Denmark,BUTTER,21/12/2015,27/12/2015,413.03,DNK
2015,52,Germany,BUTTER,21/12/2015,27/12/2015,312,DEU
2015,52,Ireland,BUTTER,21/12/2015,27/12/2015,278.99,IRL
2015,52,Spain,BUTTER,21/12/2015,27/12/2015,299.15,ESP
2015,52,Croatia,BUTTER,21/12/2015,27/12/2015,409.6,HRV
2015,52,Italy,BUTTER,21/12/2015,27/12/2015,280,ITA
2015,52,Latvia,BUTTER,21/12/2015,27/12/2015,267,LVA
2015,52,Netherlands,BUTTER,21/12/2015,27/12/2015,283,NLD
2015,52,Poland,BUTTER,21/12/2015,27/12/2015,298.73,POL
2015,52,Slovakia,BUTTER,21/12/2015,27/12/2015,379.95,SVK
2015,51,Belgium,BUTTER,14/12/2015,20/12/2015,289.89,BEL
2015,51,Denmark,BUTTER,14/12/2015,20/12/2015,413.07,DNK
