Member State,Member State Code,Category,Year,Month,Thousand tonnes
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,January,3.32
Austria,AT,Total raw cow's milk delivered to dairies,2022,January,281.97
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,February,2.85
Austria,AT,Total raw cow's milk delivered to dairies,2022,February,264.78
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,March,3.36
Austria,AT,Total raw cow's milk delivered to dairies,2022,March,298.06
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,April,3.13
Austria,AT,Total raw cow's milk delivered to dairies,2022,April,290.51
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,May,3.09
Austria,AT,Total raw cow's milk delivered to dairies,2022,May,299.46
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,June,2.58
Austria,AT,Total raw cow's milk delivered to dairies,2022,June,269.88
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,July,2.69
Austria,AT,Total raw cow's milk delivered to dairies,2022,July,265.83
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,August,2.49
Austria,AT,Total raw cow's milk delivered to dairies,2022,August,256.44
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,September,2.45
Austria,AT,Total raw cow's milk delivered to dairies,2022,September,245.49
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,January,3.57
Austria,AT,Total raw cow's milk delivered to dairies,2021,January,268.01
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,February,3.29
Austria,AT,Total raw cow's milk delivered to dairies,2021,February,252.81
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,March,3.88
Austria,AT,Total raw cow's milk delivered to dairies,2021,March,286.15
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,April,3.72
Austria,AT,Total raw cow's milk delivered to dairies,2021,April,280.09
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,May,3.27
Austria,AT,Total raw cow's milk delivered to dairies,2021,May,293.14
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,June,3.03
Austria,AT,Total raw cow's milk delivered to dairies,2021,June,266.62
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,July,2.78
Austria,AT,Total raw cow's milk delivered to dairies,2021,July,259.37
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,August,2.55
Austria,AT,Total raw cow's milk delivered to dairies,2021,August,248.82
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,September,2.40
Austria,AT,Total raw cow's milk delivered to dairies,2021,September,239.78
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,October,2.62
Austria,AT,Total raw cow's milk delivered to dairies,2021,October,251.74
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,November,2.75
Austria,AT,Total raw cow's milk delivered to dairies,2021,November,243.50
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,December,2.81
Austria,AT,Total raw cow's milk delivered to dairies,2021,December,263.79
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,January,3.87
Austria,AT,Total raw cow's milk delivered to dairies,2020,January,272.59
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,February,3.21
Austria,AT,Total raw cow's milk delivered to dairies,2020,February,265.31
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,March,3.75
Austria,AT,Total raw cow's milk delivered to dairies,2020,March,290.05
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,April,3.83
Austria,AT,Total raw cow's milk delivered to dairies,2020,April,282.78
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,May,3.15
Austria,AT,Total raw cow's milk delivered to dairies,2020,May,289.47
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,June,3.11
Austria,AT,Total raw cow's milk delivered to dairies,2020,June,262.21
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,July,2.93
Austria,AT,Total raw cow's milk delivered to dairies,2020,July,257.87
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,August,2.49
Austria,AT,Total raw cow's milk delivered to dairies,2020,August,246.35
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,September,2.63
Austria,AT,Total raw cow's milk delivered to dairies,2020,September,236.28
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,October,2.91
Austria,AT,Total raw cow's milk delivered to dairies,2020,October,243.93
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,November,2.86
Austria,AT,Total raw cow's milk delivered to dairies,2020,November,235.97
