,Year,State,Month,country_codes,Member State Code,Butter Price ,Butter Thousand tonnes
0,2000,Belgium,12,BEL,BE,326.1,12.74
1,2000,Denmark,12,DNK,DK,376.7,3.9
2,2000,Germany,12,DEU,DE,352.79,35.11
3,2000,Ireland,12,IRL,IE,292.04,3.3
4,2000,Greece,12,GRC,EL,460.16,0.06
5,2000,Spain,12,ESP,ES,312.03,2.98
6,2000,France,12,FRA,FR,327.0,38.76
7,2000,Austria,12,AUT,AT,348.1,3.0
8,2000,Belgium,12,BEL,BE,327.22,12.74
9,2000,Denmark,12,DNK,DK,376.77,3.9
10,2000,Germany,12,DEU,DE,352.79,35.11
11,2000,Ireland,12,IRL,IE,292.04,3.3
12,2000,Greece,12,GRC,EL,460.16,0.06
13,2000,Spain,12,ESP,ES,312.03,2.98
14,2000,France,12,FRA,FR,327.0,38.76
15,2000,Netherlands,12,NLD,NL,324.45,11.49
16,2000,Austria,12,AUT,AT,348.1,3.0
17,2000,Belgium,11,BEL,BE,327.22,14.33
18,2000,Denmark,11,DNK,DK,376.96,3.0
19,2000,Germany,11,DEU,DE,352.79,30.5
20,2000,Ireland,11,IRL,IE,292.04,5.0
21,2000,Greece,11,GRC,EL,456.97,0.09
22,2000,Spain,11,ESP,ES,318.73,3.09
23,2000,France,11,FRA,FR,327.0,34.48
24,2000,Netherlands,11,NLD,NL,331.26,9.73
25,2000,Belgium,4,BEL,BE,327.96,6.19
26,2000,Denmark,4,DNK,DK,376.94,4.6
27,2000,Germany,4,DEU,DE,352.79,36.73
28,2000,Ireland,4,IRL,IE,292.04,16.0
29,2000,Greece,4,GRC,EL,457.12,0.07
30,2000,France,4,FRA,FR,328.53,42.48
31,2000,Austria,4,AUT,AT,348.1,3.0
32,2000,Sweden,4,SWE,SE,385.41,4.5
33,2000,Belgium,11,BEL,BE,328.83,14.33
34,2000,Denmark,11,DNK,DK,376.77,3.0
35,2000,Germany,11,DEU,DE,352.79,30.5
36,2000,Ireland,11,IRL,IE,292.04,5.0
37,2000,Greece,11,GRC,EL,457.36,0.09
38,2000,Spain,11,ESP,ES,316.73,3.09
39,2000,France,11,FRA,FR,328.53,34.48
40,2000,Netherlands,11,NLD,NL,331.26,9.73
41,2000,Austria,11,AUT,AT,348.1,3.0
42,2000,Belgium,11,BEL,BE,327.47,14.33
43,2000,Denmark,11,DNK,DK,376.67,3.0
44,2000,Germany,11,DEU,DE,352.79,30.5
45,2000,Ireland,11,IRL,IE,304.74,5.0
46,2000,Greece,11,GRC,EL,457.64,0.09
47,2000,Spain,11,ESP,ES,316.73,3.09
48,2000,France,11,FRA,FR,328.53,34.48
49,2000,Netherlands,11,NLD,NL,331.26,9.73
50,2000,Austria,11,AUT,AT,348.1,3.0
51,2000,Belgium,11,BEL,BE,328.71,14.33
52,2000,Denmark,11,DNK,DK,376.76,3.0
53,2000,Germany,11,DEU,DE,352.79,30.5
54,2000,Ireland,11,IRL,IE,304.74,5.0
55,2000,Greece,11,GRC,EL,457.75,0.09
56,2000,Spain,11,ESP,ES,316.73,3.09
57,2000,France,11,FRA,FR,329.29,34.48
58,2000,Netherlands,11,NLD,NL,335.8,9.73
59,2000,Austria,11,AUT,AT,348.1,3.0
60,2000,Belgium,6,BEL,BE,328.83,11.35
61,2000,Denmark,6,DNK,DK,377.03,2.9
62,2000,Germany,6,DEU,DE,352.79,34.86
63,2000,Ireland,6,IRL,IE,304.74,19.4
64,2000,Greece,6,GRC,EL,457.94,0.05
65,2000,Spain,6,ESP,ES,315.73,2.42
66,2000,France,6,FRA,FR,330.05,37.28
67,2000,Netherlands,6,NLD,NL,335.8,11.43
68,2000,Austria,6,AUT,AT,348.1,3.0
69,2000,Belgium,10,BEL,BE,328.21,15.04
70,2000,Denmark,10,DNK,DK,377.45,3.4
71,2000,Germany,10,DEU,DE,355.35,32.52
72,2000,Ireland,10,IRL,IE,304.74,11.8
73,2000,Greece,10,GRC,EL,458.36,0.07
74,2000,Spain,10,ESP,ES,318.76,2.8
75,2000,France,10,FRA,FR,330.05,32.81
76,2000,Netherlands,10,NLD,NL,335.8,8.45
77,2000,Austria,10,AUT,AT,348.1,3.0
78,2000,Belgium,10,BEL,BE,329.2,15.04
79,2000,Germany,10,DEU,DE,355.35,32.52
80,2000,Ireland,10,IRL,IE,304.74,11.8
81,2000,Greece,10,GRC,EL,458.58,0.07
82,2000,Spain,10,ESP,ES,311.02,2.8
83,2000,France,10,FRA,FR,330.05,32.81
84,2000,Netherlands,10,NLD,NL,335.8,8.45
85,2000,Austria,10,AUT,AT,348.1,3.0
86,2000,Sweden,10,SWE,SE,391.61,3.0
87,2000,Belgium,10,BEL,BE,329.33,15.04
88,2000,Denmark,10,DNK,DK,377.44,3.4
89,2000,Germany,10,DEU,DE,355.35,32.52
90,2000,Ireland,10,IRL,IE,304.74,11.8
91,2000,Greece,10,GRC,EL,458.72,0.07
92,2000,France,10,FRA,FR,330.81,32.81
93,2000,Netherlands,10,NLD,NL,335.8,8.45
94,2000,Austria,10,AUT,AT,348.1,3.0
95,2000,Sweden,10,SWE,SE,390.09,3.0
96,2000,Belgium,9,BEL,BE,329.33,4.51
97,2000,Denmark,9,DNK,DK,377.18,3.5
98,2000,Germany,9,DEU,DE,355.35,29.98
99,2000,Ireland,9,IRL,IE,304.74,13.7
100,2000,Greece,9,GRC,EL,458.73,0.06
101,2000,Spain,9,ESP,ES,315.53,2.36
102,2000,France,9,FRA,FR,330.81,29.57
103,2000,Netherlands,9,NLD,NL,335.8,7.17
104,2000,Austria,9,AUT,AT,348.1,3.0
105,2000,Belgium,2,BEL,BE,328.95,6.32
106,2000,Denmark,2,DNK,DK,376.98,3.9
107,2000,Germany,2,DEU,DE,355.35,36.95
108,2000,Ireland,2,IRL,IE,304.74,5.5
109,2000,Greece,2,GRC,EL,458.84,0.05
110,2000,Spain,2,ESP,ES,309.52,3.82
111,2000,France,2,FRA,FR,328.53,41.71
112,2000,Netherlands,2,NLD,NL,335.8,11.38
113,2000,Austria,2,AUT,AT,348.1,3.0
114,2000,Belgium,9,BEL,BE,326.85,4.51
115,2000,Denmark,9,DNK,DK,376.58,3.5
116,2000,Germany,9,DEU,DE,355.35,29.98
117,2000,Ireland,9,IRL,IE,304.74,13.7
118,2000,Greece,9,GRC,EL,458.92,0.06
119,2000,Spain,9,ESP,ES,312.53,2.36
120,2000,France,9,FRA,FR,328.53,29.57
121,2000,Netherlands,9,NLD,NL,335.8,7.17
122,2000,Austria,9,AUT,AT,348.1,3.0
123,2000,Belgium,9,BEL,BE,326.35,4.51
124,2000,Denmark,9,DNK,DK,376.39,3.5
125,2000,Germany,9,DEU,DE,355.35,29.98
126,2000,Ireland,9,IRL,IE,292.04,13.7
127,2000,Greece,9,GRC,EL,459.38,0.06
128,2000,Spain,9,ESP,ES,312.53,2.36
129,2000,France,9,FRA,FR,328.53,29.57
130,2000,Netherlands,9,NLD,NL,335.8,7.17
