STATISTIC Label,Month,Consumer Item,UNIT,VALUE
National Average Price,2011 December,Full fat milk per 2 litre,Euro,
National Average Price,2012 January,Full fat milk per 2 litre,Euro,1.778
National Average Price,2012 February,Full fat milk per 2 litre,Euro,1.775
National Average Price,2012 March,Full fat milk per 2 litre,Euro,1.774
National Average Price,2012 April,Full fat milk per 2 litre,Euro,1.771
National Average Price,2012 May,Full fat milk per 2 litre,Euro,1.773
National Average Price,2012 June,Full fat milk per 2 litre,Euro,1.772
National Average Price,2012 July,Full fat milk per 2 litre,Euro,1.774
National Average Price,2012 August,Full fat milk per 2 litre,Euro,1.774
National Average Price,2012 September,Full fat milk per 2 litre,Euro,1.768
National Average Price,2012 October,Full fat milk per 2 litre,Euro,1.768
National Average Price,2012 November,Full fat milk per 2 litre,Euro,1.77
National Average Price,2012 December,Full fat milk per 2 litre,Euro,1.77
National Average Price,2013 January,Full fat milk per 2 litre,Euro,1.77
National Average Price,2013 February,Full fat milk per 2 litre,Euro,1.769
National Average Price,2013 March,Full fat milk per 2 litre,Euro,1.772
National Average Price,2013 April,Full fat milk per 2 litre,Euro,1.772
National Average Price,2013 May,Full fat milk per 2 litre,Euro,1.767
National Average Price,2013 June,Full fat milk per 2 litre,Euro,1.862
National Average Price,2013 July,Full fat milk per 2 litre,Euro,1.859
National Average Price,2013 August,Full fat milk per 2 litre,Euro,1.833
National Average Price,2013 September,Full fat milk per 2 litre,Euro,1.835
National Average Price,2013 October,Full fat milk per 2 litre,Euro,1.832
National Average Price,2013 November,Full fat milk per 2 litre,Euro,1.784
National Average Price,2013 December,Full fat milk per 2 litre,Euro,1.767
National Average Price,2014 January,Full fat milk per 2 litre,Euro,1.755
National Average Price,2014 February,Full fat milk per 2 litre,Euro,1.751
National Average Price,2014 March,Full fat milk per 2 litre,Euro,1.744
National Average Price,2014 April,Full fat milk per 2 litre,Euro,1.742
National Average Price,2014 May,Full fat milk per 2 litre,Euro,1.741
National Average Price,2014 June,Full fat milk per 2 litre,Euro,1.742
National Average Price,2014 July,Full fat milk per 2 litre,Euro,1.746
National Average Price,2014 August,Full fat milk per 2 litre,Euro,1.738
National Average Price,2014 September,Full fat milk per 2 litre,Euro,1.747
National Average Price,2014 October,Full fat milk per 2 litre,Euro,1.752
National Average Price,2014 November,Full fat milk per 2 litre,Euro,1.75
National Average Price,2014 December,Full fat milk per 2 litre,Euro,1.732
National Average Price,2015 January,Full fat milk per 2 litre,Euro,1.727
National Average Price,2015 February,Full fat milk per 2 litre,Euro,1.728
National Average Price,2015 March,Full fat milk per 2 litre,Euro,1.719
National Average Price,2015 April,Full fat milk per 2 litre,Euro,1.728
National Average Price,2015 May,Full fat milk per 2 litre,Euro,1.72
National Average Price,2015 June,Full fat milk per 2 litre,Euro,1.722
National Average Price,2015 July,Full fat milk per 2 litre,Euro,1.715
National Average Price,2015 August,Full fat milk per 2 litre,Euro,1.716
National Average Price,2015 September,Full fat milk per 2 litre,Euro,1.718
National Average Price,2015 October,Full fat milk per 2 litre,Euro,1.718
National Average Price,2015 November,Full fat milk per 2 litre,Euro,1.716
National Average Price,2015 December,Full fat milk per 2 litre,Euro,1.72
National Average Price,2016 January,Full fat milk per 2 litre,Euro,1.714
National Average Price,2016 February,Full fat milk per 2 litre,Euro,1.714
National Average Price,2016 March,Full fat milk per 2 litre,Euro,1.713
National Average Price,2016 April,Full fat milk per 2 litre,Euro,1.712
National Average Price,2016 May,Full fat milk per 2 litre,Euro,1.708
National Average Price,2016 June,Full fat milk per 2 litre,Euro,1.707
National Average Price,2016 July,Full fat milk per 2 litre,Euro,1.705
National Average Price,2016 August,Full fat milk per 2 litre,Euro,1.707
National Average Price,2016 September,Full fat milk per 2 litre,Euro,1.7
National Average Price,2016 October,Full fat milk per 2 litre,Euro,1.691
National Average Price,2016 November,Full fat milk per 2 litre,Euro,1.697
National Average Price,2016 December,Full fat milk per 2 litre,Euro,1.697
National Average Price,2017 January,Full fat milk per 2 litre,Euro,1.695
National Average Price,2017 February,Full fat milk per 2 litre,Euro,1.696
National Average Price,2017 March,Full fat milk per 2 litre,Euro,1.698
National Average Price,2017 April,Full fat milk per 2 litre,Euro,1.699
National Average Price,2017 May,Full fat milk per 2 litre,Euro,1.692
National Average Price,2017 June,Full fat milk per 2 litre,Euro,1.689
National Average Price,2017 July,Full fat milk per 2 litre,Euro,1.694
National Average Price,2017 August,Full fat milk per 2 litre,Euro,1.695
National Average Price,2017 September,Full fat milk per 2 litre,Euro,1.692
National Average Price,2017 October,Full fat milk per 2 litre,Euro,1.689
National Average Price,2017 November,Full fat milk per 2 litre,Euro,1.698
National Average Price,2017 December,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018 January,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018 February,Full fat milk per 2 litre,Euro,1.708
National Average Price,2018 March,Full fat milk per 2 litre,Euro,1.706
National Average Price,2018 April,Full fat milk per 2 litre,Euro,1.707
National Average Price,2018 May,Full fat milk per 2 litre,Euro,1.704
National Average Price,2018 June,Full fat milk per 2 litre,Euro,1.701
National Average Price,2018 July,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018 August,Full fat milk per 2 litre,Euro,1.699
National Average Price,2018 September,Full fat milk per 2 litre,Euro,1.7
National Average Price,2018 October,Full fat milk per 2 litre,Euro,1.692
National Average Price,2018 November,Full fat milk per 2 litre,Euro,1.685
National Average Price,2018 December,Full fat milk per 2 litre,Euro,1.683
National Average Price,2019 January,Full fat milk per 2 litre,Euro,1.678
National Average Price,2019 February,Full fat milk per 2 litre,Euro,1.681
National Average Price,2019 March,Full fat milk per 2 litre,Euro,1.679
National Average Price,2019 April,Full fat milk per 2 litre,Euro,1.685
National Average Price,2019 May,Full fat milk per 2 litre,Euro,1.685
National Average Price,2019 June,Full fat milk per 2 litre,Euro,1.683
National Average Price,2019 July,Full fat milk per 2 litre,Euro,1.684
National Average Price,2019 August,Full fat milk per 2 litre,Euro,1.689
National Average Price,2019 September,Full fat milk per 2 litre,Euro,1.684
National Average Price,2019 October,Full fat milk per 2 litre,Euro,1.689
National Average Price,2019 November,Full fat milk per 2 litre,Euro,1.689
National Average Price,2019 December,Full fat milk per 2 litre,Euro,1.688
National Average Price,2020 January,Full fat milk per 2 litre,Euro,1.688
National Average Price,2020 February,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020 March,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020 April,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020 May,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020 June,Full fat milk per 2 litre,Euro,1.687
National Average Price,2020 July,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020 August,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020 September,Full fat milk per 2 litre,Euro,1.69
National Average Price,2020 October,Full fat milk per 2 litre,Euro,1.687
National Average Price,2020 November,Full fat milk per 2 litre,Euro,1.687
National Average Price,2020 December,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021 January,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021 February,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021 March,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021 April,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021 May,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021 June,Full fat milk per 2 litre,Euro,1.687
National Average Price,2021 July,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021 August,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021 September,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021 October,Full fat milk per 2 litre,Euro,1.693
National Average Price,2021 November,Full fat milk per 2 litre,Euro,1.688
National Average Price,2021 December,Full fat milk per 2 litre,Euro,1.691
National Average Price,2022 January,Full fat milk per 2 litre,Euro,1.732
National Average Price,2022 February,Full fat milk per 2 litre,Euro,1.794
National Average Price,2022 March,Full fat milk per 2 litre,Euro,1.833
National Average Price,2022 April,Full fat milk per 2 litre,Euro,1.838
National Average Price,2022 May,Full fat milk per 2 litre,Euro,1.865
National Average Price,2022 June,Full fat milk per 2 litre,Euro,1.955
National Average Price,2022 July,Full fat milk per 2 litre,Euro,2.052
National Average Price,2022 August,Full fat milk per 2 litre,Euro,2.075
National Average Price,2022 September,Full fat milk per 2 litre,Euro,2.098
National Average Price,2022 October,Full fat milk per 2 litre,Euro,2.123
National Average Price,2022 November,Full fat milk per 2 litre,Euro,2.24
