"ISO 3","Country ID","Country","Trade Value","Trade Value 2","Trade Value Growth Value","Trade Value Growth"
"cod","afcod","Democratic Republic of the Congo",75190,1076198,-1001008,-93.0133674286702
"dza","afdza","Algeria",665197,555154,110043,19.822067390309716
"egy","afegy","Egypt",17559828,3368908,14190920,421.23204314276313
"gha","afgha","Ghana",239358,0,239358,100
"ken","afken","Kenya",175610,72108,103502,143.53747157042213
"lby","aflby","Libya",365083,0,365083,100
"mar","afmar","Morocco",21877991,2483856,19394135,780.8075427883098
"mus","afmus","Mauritius",423074,163144,259930,159.32550384936008
"nga","afnga","Nigeria",1636.9999999999998,232456,-230819,-99.29578070688646
"sen","afsen","Senegal",83855,0,83855,100
"syc","afsyc","Seychelles",876383,300017,576366,192.1111137035568
"tun","aftun","Tunisia",1757099,61020,1696079,2779.546050475254
"tza","aftza","Tanzania",119486,76556,42930,56.07659752338158
"zaf","afzaf","South Africa",6374768,3373914,3000854,88.94281241312018
"are","asare","United Arab Emirates",3330965,73282,3257683,4445.406784749324
"arm","asarm","Armenia",519135,0,519135,100
"aze","asaze","Azerbaijan",105331,2015171,-1909840,-94.7730986601137
"bgd","asbgd","Bangladesh",333894,0,333894,100
"bhr","asbhr","Bahrain",1915852,104922.99999999999,1810929,1725.9599897067374
"chn","aschn","China",3206498,281845,2924653,1037.6813496780144
"cyp","ascyp","Cyprus",2052212.9999999998,2148519,-96306.00000000023,-4.482436506263162
"geo","asgeo","Georgia",1415333.9999999998,159703,1255630.9999999998,786.2288122327068
"hkg","ashkg","Hong Kong",177975,0,177975,100
"idn","asidn","Indonesia",71,186027.00000000003,-185956.00000000003,-99.96183349728803
"isr","asisr","Israel",1122003,316053,805950,255.0046985790358
"jor","asjor","Jordan",127586,0,127586,100
"jpn","asjpn","Japan",1503777,5837.999999999999,1497939,25658.42754367934
"kwt","askwt","Kuwait",471664,615651,-143987,-23.387763521865473
"lbn","aslbn","Lebanon",82547.00000000001,355364.00000000006,-272817.00000000006,-76.77114170259227
"mys","asmys","Malaysia",1396668,56306.00000000001,1340362,2380.495861897489
"omn","asomn","Oman",83997.00000000001,45236.00000000001,38761.00000000001,85.68617914935007
"phl","asphl","Philippines",50032,0,50032,100
"qat","asqat","Qatar",389679.00000000006,55658,334021.00000000006,600.1311581443819
"sau","assau","Saudi Arabia",9367134,527181,8839953,1676.8345217297285
"sgp","assgp","Singapore",2058513,93319,1965194,2105.888404290659
"tur","astur","Turkey",16035738.000000002,2000354,14035384.000000002,701.6450088334366
"vnm","asvnm","Vietnam",71050,0,71050,100
"xxb","asxxb","Chinese Taipei",754676,927653,-172977,-18.6467353633309
"yem","asyem","Yemen",627487,0,627487,100
"aut","euaut","Austria",3138020,820550,2317470,282.4288586923405
"bel","eubel","Belgium",76071327,101404281.99999999,-25332954.999999985,-24.982135369786445
"che","euche","Switzerland",3478792,0,3478792,100
"cze","eucze","Czechia",456881,372299.00000000006,84581.99999999994,22.718836204233675
"deu","eudeu","Germany",310126301.99999994,196711770,113414531.99999994,57.65518352053868
"dnk","eudnk","Denmark",3690703,304705,3385998,1111.2380827357608
"esp","euesp","Spain",12501278.999999998,6260781.999999999,6240496.999999999,99.67599894070742
"est","euest","Estonia",90235,0,90235,100
"fra","eufra","France",72286754,84771219,-12484465,-14.72724486833202
"gbr","eugbr","United Kingdom",170998615,197709675,-26711060,-13.510244250818781
"gib","eugib","Gibraltar",66658.99999999999,123790,-57131.000000000015,-46.15154697471526
"grc","eugrc","Greece",122612.00000000001,770835,-648223,-84.09361277056698
"hun","euhun","Hungary",149069,0,149069,100
"ita","euita","Italy",695733.9999999999,3145816,-2450082,-77.88383045925127
"ltu","eultu","Lithuania",102109,0,102109,100
"lux","eulux","Luxembourg",81341.00000000001,5068.000000000001,76273.00000000001,1504.992107340174
"mlt","eumlt","Malta",1326077.0000000002,1037478.0000000001,288599.0000000001,27.817360946448993
"nld","eunld","Netherlands",237177328,40614110,196563218,483.9776570260927
"nor","eunor","Norway",966467,0,966467,100
"pol","eupol","Poland",7282541.999999999,2838975.9999999995,4443566,156.52002693929083
"prt","euprt","Portugal",143345,0,143345,100
"rou","eurou","Romania",978300,369406,608894,164.83056582730114
"srb","eusrb","Serbia",940441,0,940441,100
"svk","eusvk","Slovakia",677,1509575,-1508898,-99.95515294039713
"ukr","euukr","Ukraine",86338,0,86338,100
"bhs","nabhs","Bahamas",2544844,1183848,1360996,114.96374534568628
"bmu","nabmu","Bermuda",283237,139367.00000000003,143869.99999999997,103.23103747659054
"brb","nabrb","Barbados",318819,279232,39587,14.17710004584002
"can","nacan","Canada",4263576,0,4263576,100
"cym","nacym","Cayman Islands",226917,0,226917,100
"gtm","nagtm","Guatemala",407148,0,407148,100
"jam","najam","Jamaica",90300,146668.99999999997,-56368.99999999997,-38.43279766003722
"mex","namex","Mexico",270994,0,270994,100
"tto","natto","Trinidad and Tobago",1602582.9999999998,448972,1153610.9999999998,256.94497652414844
"usa","nausa","United States",219026837,2446776,216580061,8851.650539321949
"aus","ocaus","Australia",8489390,0,8489390,100
"nzl","ocnzl","New Zealand",232827,0,232827,100
"chl","sachl","Chile",990503,450850,539653,119.69679494288566
