Year,Month,Member State,Product,Begin Date,End Date,Price(€/100kg)
2022,Jan,European Union,Raw milk,01/01/2022,31/01/2022,41.8109994
2022,Jan,Belgium,Organic raw milk,01/01/2022,31/01/2022,48.1
2022,Jan,Belgium,Raw milk,01/01/2022,31/01/2022,45.13
2022,Jan,Bulgaria,Organic raw milk,01/01/2022,31/01/2022,47.55
2022,Jan,Bulgaria,Raw milk,01/01/2022,31/01/2022,37.61
2022,Jan,Czechia,Organic raw milk,01/01/2022,31/01/2022,43.58
2022,Jan,Czechia,Raw milk,01/01/2022,31/01/2022,39.82
2022,Jan,Denmark,Organic raw milk,01/01/2022,31/01/2022,51.74
2022,Jan,Denmark,Raw milk,01/01/2022,31/01/2022,43.68
2022,Jan,Germany,Organic raw milk,01/01/2022,31/01/2022,52.84
2022,Jan,Germany,Raw milk,01/01/2022,31/01/2022,43.03
2022,Jan,Estonia,Organic raw milk,01/01/2022,31/01/2022,35.77
2022,Jan,Estonia,Raw milk,01/01/2022,31/01/2022,38.67
2022,Jan,Ireland,Raw milk,01/01/2022,31/01/2022,46.03
2022,Jan,Greece,Organic raw milk,01/01/2022,31/01/2022,54.35
2022,Jan,Greece,Raw milk,01/01/2022,31/01/2022,44.22
2022,Jan,Spain,Organic raw milk,01/01/2022,31/01/2022,46.89
2022,Jan,Spain,Raw milk,01/01/2022,31/01/2022,36.02
2022,Jan,France,Organic raw milk,01/01/2022,31/01/2022,47.21
2022,Jan,France,Raw milk,01/01/2022,31/01/2022,40.73
2022,Jan,Croatia,Raw milk,01/01/2022,31/01/2022,36.14
2022,Jan,Italy,Organic raw milk,01/01/2022,31/01/2022,54.55
2022,Jan,Italy,Raw milk,01/01/2022,31/01/2022,39.89
2022,Jan,Cyprus,Organic raw milk,01/01/2022,31/01/2022,103
2022,Jan,Cyprus,Raw milk,01/01/2022,31/01/2022,58.22
2022,Jan,Latvia,Organic raw milk,01/01/2022,31/01/2022,39.72
2022,Jan,Latvia,Raw milk,01/01/2022,31/01/2022,41.72
2022,Jan,Lithuania,Organic raw milk,01/01/2022,31/01/2022,46.26
2022,Jan,Lithuania,Raw milk,01/01/2022,31/01/2022,44.23
2022,Jan,Hungary,Raw milk,01/01/2022,31/01/2022,36.01
2022,Jan,Malta,Raw milk,01/01/2022,31/01/2022,62
2022,Jan,Netherlands,Organic raw milk,01/01/2022,31/01/2022,53
2022,Jan,Netherlands,Raw milk,01/01/2022,31/01/2022,45
2022,Jan,Austria,Organic raw milk,01/01/2022,31/01/2022,50.53
2022,Jan,Austria,Raw milk,01/01/2022,31/01/2022,42.4
2022,Jan,Poland,Organic raw milk,01/01/2022,31/01/2022,49
2022,Jan,Poland,Raw milk,01/01/2022,31/01/2022,40.09
2022,Jan,Portugal,Organic raw milk,01/01/2022,31/01/2022,52
2022,Jan,Portugal,Raw milk,01/01/2022,31/01/2022,34.19
2022,Jan,Romania,Raw milk,01/01/2022,31/01/2022,40.41
2022,Jan,Slovenia,Organic raw milk,01/01/2022,31/01/2022,44.71
2022,Jan,Slovenia,Raw milk,01/01/2022,31/01/2022,35.93
2022,Jan,Slovakia,Organic raw milk,01/01/2022,31/01/2022,40.76
2022,Jan,Slovakia,Raw milk,01/01/2022,31/01/2022,37.18
2022,Jan,Finland,Raw milk,01/01/2022,31/01/2022,42.38
2022,Jan,Sweden,Organic raw milk,01/01/2022,31/01/2022,47.64
2022,Jan,Sweden,Raw milk,01/01/2022,31/01/2022,42.9
2022,Feb,European Union,Raw milk,01/02/2022,28/02/2022,42.5009492
2022,Feb,Belgium,Organic raw milk,01/02/2022,28/02/2022,47.46
2022,Feb,Belgium,Raw milk,01/02/2022,28/02/2022,45.61
2022,Feb,Bulgaria,Organic raw milk,01/02/2022,28/02/2022,47.61
2022,Feb,Bulgaria,Raw milk,01/02/2022,28/02/2022,37.99
2022,Feb,Czechia,Organic raw milk,01/02/2022,28/02/2022,44.43
2022,Feb,Czechia,Raw milk,01/02/2022,28/02/2022,40.91
2022,Feb,Denmark,Organic raw milk,01/02/2022,28/02/2022,51.74
2022,Feb,Denmark,Raw milk,01/02/2022,28/02/2022,43.68
2022,Feb,Germany,Organic raw milk,01/02/2022,28/02/2022,53.15
2022,Feb,Germany,Raw milk,01/02/2022,28/02/2022,44.25
2022,Feb,Estonia,Organic raw milk,01/02/2022,28/02/2022,38.8
2022,Feb,Estonia,Raw milk,01/02/2022,28/02/2022,40.3
2022,Feb,Ireland,Raw milk,01/02/2022,28/02/2022,47.59
2022,Feb,Greece,Organic raw milk,01/02/2022,28/02/2022,55.88
2022,Feb,Greece,Raw milk,01/02/2022,28/02/2022,45.46
2022,Feb,Spain,Organic raw milk,01/02/2022,28/02/2022,46.89
2022,Feb,Spain,Raw milk,01/02/2022,28/02/2022,36.7
2022,Feb,France,Organic raw milk,01/02/2022,28/02/2022,46.77
2022,Feb,France,Raw milk,01/02/2022,28/02/2022,41.18
2022,Feb,Croatia,Raw milk,01/02/2022,28/02/2022,35.96
2022,Feb,Italy,Organic raw milk,01/02/2022,28/02/2022,54.75
2022,Feb,Italy,Raw milk,01/02/2022,28/02/2022,40.56
2022,Feb,Cyprus,Organic raw milk,01/02/2022,28/02/2022,101.88
2022,Feb,Cyprus,Raw milk,01/02/2022,28/02/2022,58.36
2022,Feb,Latvia,Organic raw milk,01/02/2022,28/02/2022,40.84
2022,Feb,Latvia,Raw milk,01/02/2022,28/02/2022,42.67
2022,Feb,Lithuania,Organic raw milk,01/02/2022,28/02/2022,47.01
2022,Feb,Lithuania,Raw milk,01/02/2022,28/02/2022,45.94
2022,Feb,Hungary,Raw milk,01/02/2022,28/02/2022,37.28
2022,Feb,Malta,Raw milk,01/02/2022,28/02/2022,61.92
2022,Feb,Netherlands,Organic raw milk,01/02/2022,28/02/2022,54.88
2022,Feb,Netherlands,Raw milk,01/02/2022,28/02/2022,45
2022,Feb,Austria,Organic raw milk,01/02/2022,28/02/2022,51.33
2022,Feb,Austria,Raw milk,01/02/2022,28/02/2022,43.2
2022,Feb,Poland,Organic raw milk,01/02/2022,28/02/2022,50.36
2022,Feb,Poland,Raw milk,01/02/2022,28/02/2022,40.62
2022,Feb,Portugal,Organic raw milk,01/02/2022,28/02/2022,51.78
2022,Feb,Portugal,Raw milk,01/02/2022,28/02/2022,34.15
2022,Feb,Romania,Raw milk,01/02/2022,28/02/2022,39.63
2022,Feb,Slovenia,Organic raw milk,01/02/2022,28/02/2022,41.33
2022,Feb,Slovenia,Raw milk,01/02/2022,28/02/2022,36.87
2022,Feb,Slovakia,Organic raw milk,01/02/2022,28/02/2022,41.82
2022,Feb,Slovakia,Raw milk,01/02/2022,28/02/2022,38.1
2022,Feb,Finland,Raw milk,01/02/2022,28/02/2022,42.15
2022,Feb,Sweden,Organic raw milk,01/02/2022,28/02/2022,47.47
2022,Feb,Sweden,Raw milk,01/02/2022,28/02/2022,43.01
2022,Mar,European Union,Raw milk,01/03/2022,31/03/2022,43.922333
2022,Mar,Belgium,Organic raw milk,01/03/2022,31/03/2022,48.56
2022,Mar,Belgium,Raw milk,01/03/2022,31/03/2022,47.68
2022,Mar,Bulgaria,Organic raw milk,01/03/2022,31/03/2022,47.81
2022,Mar,Bulgaria,Raw milk,01/03/2022,31/03/2022,38.57
2022,Mar,Czechia,Organic raw milk,01/03/2022,31/03/2022,44.94
2022,Mar,Czechia,Raw milk,01/03/2022,31/03/2022,40.63
2022,Mar,Denmark,Organic raw milk,01/03/2022,31/03/2022,53.76
2022,Mar,Denmark,Raw milk,01/03/2022,31/03/2022,46.23
2022,Mar,Germany,Organic raw milk,01/03/2022,31/03/2022,54.12
2022,Mar,Germany,Raw milk,01/03/2022,31/03/2022,47.98
2022,Mar,Estonia,Organic raw milk,01/03/2022,31/03/2022,38.54
2022,Mar,Estonia,Raw milk,01/03/2022,31/03/2022,41.21
2022,Mar,Ireland,Raw milk,01/03/2022,31/03/2022,48.95
2022,Mar,Greece,Raw milk,01/03/2022,31/03/2022,46.79
2022,Mar,Spain,Organic raw milk,01/03/2022,31/03/2022,46.8
2022,Mar,Spain,Raw milk,01/03/2022,31/03/2022,37.18
2022,Mar,France,Organic raw milk,01/03/2022,31/03/2022,46
2022,Mar,France,Raw milk,01/03/2022,31/03/2022,40.94
2022,Mar,Croatia,Raw milk,01/03/2022,31/03/2022,37.66
2022,Mar,Italy,Organic raw milk,01/03/2022,31/03/2022,54.75
2022,Mar,Italy,Raw milk,01/03/2022,31/03/2022,40.56
2022,Mar,Cyprus,Organic raw milk,01/03/2022,31/03/2022,104.93
2022,Mar,Cyprus,Raw milk,01/03/2022,31/03/2022,58.32
2022,Mar,Latvia,Organic raw milk,01/03/2022,31/03/2022,40.3
2022,Mar,Latvia,Raw milk,01/03/2022,31/03/2022,43.44
2022,Mar,Lithuania,Organic raw milk,01/03/2022,31/03/2022,50.06
2022,Mar,Lithuania,Raw milk,01/03/2022,31/03/2022,47.62
2022,Mar,Hungary,Raw milk,01/03/2022,31/03/2022,37.02
2022,Mar,Malta,Raw milk,01/03/2022,31/03/2022,63.54
2022,Mar,Netherlands,Organic raw milk,01/03/2022,31/03/2022,56
2022,Mar,Netherlands,Raw milk,01/03/2022,31/03/2022,46.5
2022,Mar,Austria,Organic raw milk,01/03/2022,31/03/2022,52.39
2022,Mar,Austria,Raw milk,01/03/2022,31/03/2022,44.26
2022,Mar,Poland,Organic raw milk,01/03/2022,31/03/2022,50.16
2022,Mar,Poland,Raw milk,01/03/2022,31/03/2022,41.44
2022,Mar,Portugal,Organic raw milk,01/03/2022,31/03/2022,51.87
2022,Mar,Portugal,Raw milk,01/03/2022,31/03/2022,34.16
2022,Mar,Romania,Raw milk,01/03/2022,31/03/2022,40.74
2022,Mar,Slovenia,Organic raw milk,01/03/2022,31/03/2022,48.97
2022,Mar,Slovenia,Raw milk,01/03/2022,31/03/2022,38.16
2022,Mar,Slovakia,Organic raw milk,01/03/2022,31/03/2022,41.9
2022,Mar,Slovakia,Raw milk,01/03/2022,31/03/2022,38.84
2022,Mar,Finland,Raw milk,01/03/2022,31/03/2022,43.93
2022,Mar,Sweden,Organic raw milk,01/03/2022,31/03/2022,48.78
2022,Mar,Sweden,Raw milk,01/03/2022,31/03/2022,44.71
2022,Apr,European Union,Raw milk,01/04/2022,30/04/2022,46.2316785
2022,Apr,Belgium,Organic raw milk,01/04/2022,30/04/2022,48.96
2022,Apr,Belgium,Raw milk,01/04/2022,30/04/2022,48.81
2022,Apr,Bulgaria,Organic raw milk,01/04/2022,30/04/2022,48.36
2022,Apr,Bulgaria,Raw milk,01/04/2022,30/04/2022,39.69
2022,Apr,Czechia,Organic raw milk,01/04/2022,30/04/2022,47.08
2022,Apr,Czechia,Raw milk,01/04/2022,30/04/2022,42.86
2022,Apr,Denmark,Organic raw milk,01/04/2022,30/04/2022,54.31
