,Year,Week,State,Product,Begin Date,End Date,Price (�/100kg),country_codes
0,2015,47,France,BUTTER,2015-11-16,2015-11-22,325,FRA
1,2015,46,France,BUTTER,2015-11-09,2015-11-15,321,FRA
2,2015,36,France,BUTTER,2015-08-31,2015-09-06,274,FRA
3,2015,35,France,BUTTER,2015-08-24,2015-08-30,279,FRA
4,2015,32,France,BUTTER,2015-08-03,2015-08-09,290,FRA
5,2015,20,France,BUTTER,2015-05-11,2015-05-17,301,FRA
6,2015,17,France,BUTTER,2015-04-20,2015-04-26,307,FRA
7,2015,15,France,BUTTER,2015-04-06,2015-04-12,326,FRA
8,2015,7,France,BUTTER,2015-02-09,2015-02-15,333,FRA
9,2015,3,France,BUTTER,2015-01-12,2015-01-18,296,FRA
10,2015,2,France,BUTTER,2015-01-05,2015-01-11,357,FRA
11,2016,52,France,BUTTER,2016-12-26,2017-01-01,444,FRA
12,2016,51,France,BUTTER,2016-12-19,2016-12-25,431,FRA
13,2016,50,France,BUTTER,2016-12-12,2016-12-18,433,FRA
14,2016,49,France,BUTTER,2016-12-05,2016-12-11,433,FRA
15,2016,48,France,BUTTER,2016-11-28,2016-12-04,429,FRA
16,2016,47,France,BUTTER,2016-11-21,2016-11-27,423,FRA
17,2016,46,France,BUTTER,2016-11-14,2016-11-20,419,FRA
18,2016,45,France,BUTTER,2016-11-07,2016-11-13,414,FRA
19,2016,41,France,BUTTER,2016-10-10,2016-10-16,444,FRA
20,2016,28,France,BUTTER,2016-07-11,2016-07-17,326,FRA
21,2016,27,France,BUTTER,2016-07-04,2016-07-10,323,FRA
22,2016,15,France,BUTTER,2016-04-11,2016-04-17,240,FRA
23,2016,8,France,BUTTER,2016-02-22,2016-02-28,270,FRA
24,2016,6,France,BUTTER,2016-02-08,2016-02-14,268,FRA
25,2017,52,France,BUTTER,2017-12-25,2017-12-31,423,FRA
26,2017,50,France,BUTTER,2017-12-11,2017-12-17,559,FRA
27,2017,49,France,BUTTER,2017-12-04,2017-12-10,567,FRA
28,2017,48,France,BUTTER,2017-11-27,2017-12-03,546,FRA
29,2017,47,France,BUTTER,2017-11-20,2017-11-26,539,FRA
30,2017,46,France,BUTTER,2017-11-13,2017-11-19,513,FRA
31,2017,45,France,BUTTER,2017-11-06,2017-11-12,524,FRA
32,2017,44,France,BUTTER,2017-10-30,2017-11-05,424,FRA
33,2017,43,France,BUTTER,2017-10-23,2017-10-29,603,FRA
34,2017,42,France,BUTTER,2017-10-16,2017-10-22,646,FRA
35,2017,41,France,BUTTER,2017-10-09,2017-10-15,661,FRA
36,2017,40,France,BUTTER,2017-10-02,2017-10-08,668,FRA
37,2017,39,France,BUTTER,2017-09-25,2017-10-01,682,FRA
38,2017,38,France,BUTTER,2017-09-18,2017-09-24,718,FRA
39,2017,37,France,BUTTER,2017-09-11,2017-09-17,718,FRA
40,2017,36,France,BUTTER,2017-09-04,2017-09-10,727,FRA
41,2017,35,France,BUTTER,2017-08-28,2017-09-03,690,FRA
42,2017,34,France,BUTTER,2017-08-21,2017-08-27,630,FRA
43,2017,33,France,BUTTER,2017-08-14,2017-08-20,624,FRA
44,2017,32,France,BUTTER,2017-08-07,2017-08-13,618,FRA
45,2017,31,France,BUTTER,2017-07-31,2017-08-06,614,FRA
46,2017,30,France,BUTTER,2017-07-24,2017-07-30,640,FRA
47,2017,29,France,BUTTER,2017-07-17,2017-07-23,629,FRA
48,2017,28,France,BUTTER,2017-07-10,2017-07-16,630,FRA
49,2017,27,France,BUTTER,2017-07-03,2017-07-09,594,FRA
50,2017,26,France,BUTTER,2017-06-26,2017-07-02,579,FRA
51,2017,25,France,BUTTER,2017-06-19,2017-06-25,503,FRA
52,2017,24,France,BUTTER,2017-06-12,2017-06-18,488,FRA
53,2017,23,France,BUTTER,2017-06-05,2017-06-11,490,FRA
54,2017,22,France,BUTTER,2017-05-29,2017-06-04,476,FRA
55,2017,21,France,BUTTER,2017-05-22,2017-05-28,490,FRA
56,2017,20,France,BUTTER,2017-05-15,2017-05-21,487,FRA
57,2017,19,France,BUTTER,2017-05-08,2017-05-14,470,FRA
58,2017,18,France,BUTTER,2017-05-01,2017-05-07,453,FRA
59,2017,17,France,BUTTER,2017-04-24,2017-04-30,447,FRA
60,2017,16,France,BUTTER,2017-04-17,2017-04-23,449,FRA
61,2017,15,France,BUTTER,2017-04-10,2017-04-16,441,FRA
62,2017,14,France,BUTTER,2017-04-03,2017-04-09,439,FRA
63,2017,13,France,BUTTER,2017-03-27,2017-04-02,437,FRA
64,2017,12,France,BUTTER,2017-03-20,2017-03-26,428,FRA
65,2017,11,France,BUTTER,2017-03-13,2017-03-19,426,FRA
66,2017,10,France,BUTTER,2017-03-06,2017-03-12,423,FRA
67,2017,9,France,BUTTER,2017-02-27,2017-03-05,430,FRA
68,2017,8,France,BUTTER,2017-02-20,2017-02-26,429,FRA
69,2017,7,France,BUTTER,2017-02-13,2017-02-19,431,FRA
70,2017,6,France,BUTTER,2017-02-06,2017-02-12,435,FRA
71,2017,5,France,BUTTER,2017-01-30,2017-02-05,437,FRA
72,2017,4,France,BUTTER,2017-01-23,2017-01-29,438,FRA
73,2017,3,France,BUTTER,2017-01-16,2017-01-22,438,FRA
74,2017,2,France,BUTTER,2017-01-09,2017-01-15,437,FRA
75,2017,1,France,BUTTER,2017-01-02,2017-01-08,438,FRA
76,2018,52,France,BUTTER,2018-12-24,2018-12-30,429,FRA
77,2018,51,France,BUTTER,2018-12-17,2018-12-23,429,FRA
78,2018,50,France,BUTTER,2018-12-10,2018-12-16,439,FRA
79,2018,49,France,BUTTER,2018-12-03,2018-12-09,455,FRA
80,2018,48,France,BUTTER,2018-11-26,2018-12-02,454,FRA
81,2018,47,France,BUTTER,2018-11-19,2018-11-25,454,FRA
82,2018,46,France,BUTTER,2018-11-12,2018-11-18,459,FRA
83,2018,45,France,BUTTER,2018-11-05,2018-11-11,453,FRA
84,2018,44,France,BUTTER,2018-10-29,2018-11-04,456,FRA
85,2018,43,France,BUTTER,2018-10-22,2018-10-28,469,FRA
86,2018,42,France,BUTTER,2018-10-15,2018-10-21,465,FRA
87,2018,41,France,BUTTER,2018-10-08,2018-10-14,489,FRA
88,2018,40,France,BUTTER,2018-10-01,2018-10-07,492,FRA
89,2018,39,France,BUTTER,2018-09-24,2018-09-30,519,FRA
90,2018,38,France,BUTTER,2018-09-17,2018-09-23,529,FRA
91,2018,37,France,BUTTER,2018-09-10,2018-09-16,570,FRA
92,2018,36,France,BUTTER,2018-09-03,2018-09-09,571,FRA
93,2018,35,France,BUTTER,2018-08-27,2018-09-02,558,FRA
94,2018,34,France,BUTTER,2018-08-20,2018-08-26,550,FRA
95,2018,33,France,BUTTER,2018-08-13,2018-08-19,553,FRA
96,2018,32,France,BUTTER,2018-08-06,2018-08-12,553,FRA
97,2018,31,France,BUTTER,2018-07-30,2018-08-05,576,FRA
98,2018,30,France,BUTTER,2018-07-23,2018-07-29,603,FRA
99,2018,29,France,BUTTER,2018-07-16,2018-07-22,592,FRA
100,2018,28,France,BUTTER,2018-07-09,2018-07-15,596,FRA
101,2018,27,France,BUTTER,2018-07-02,2018-07-08,593,FRA
102,2018,26,France,BUTTER,2018-06-25,2018-07-01,596,FRA
103,2018,25,France,BUTTER,2018-06-18,2018-06-24,609,FRA
104,2018,24,France,BUTTER,2018-06-11,2018-06-17,617,FRA
105,2018,23,France,BUTTER,2018-06-04,2018-06-10,622,FRA
106,2018,22,France,BUTTER,2018-05-28,2018-06-03,624,FRA
107,2018,21,France,BUTTER,2018-05-21,2018-05-27,599,FRA
108,2018,20,France,BUTTER,2018-05-14,2018-05-20,595,FRA
109,2018,19,France,BUTTER,2018-05-07,2018-05-13,589,FRA
110,2018,18,France,BUTTER,2018-04-30,2018-05-06,574,FRA
111,2018,17,France,BUTTER,2018-04-23,2018-04-29,501,FRA
112,2018,16,France,BUTTER,2018-04-16,2018-04-22,501,FRA
113,2018,15,France,BUTTER,2018-04-09,2018-04-15,500,FRA
114,2018,14,France,BUTTER,2018-04-02,2018-04-08,501,FRA
115,2018,13,France,BUTTER,2018-03-26,2018-04-01,507,FRA
116,2018,12,France,BUTTER,2018-03-19,2018-03-25,505,FRA
117,2018,11,France,BUTTER,2018-03-12,2018-03-18,508,FRA
118,2018,10,France,BUTTER,2018-03-05,2018-03-11,496,FRA
119,2018,9,France,BUTTER,2018-02-26,2018-03-04,465,FRA
120,2018,8,France,BUTTER,2018-02-19,2018-02-25,456,FRA
121,2018,7,France,BUTTER,2018-02-12,2018-02-18,431,FRA
122,2018,6,France,BUTTER,2018-02-05,2018-02-11,432,FRA
123,2018,5,France,BUTTER,2018-01-29,2018-02-04,426,FRA
124,2018,4,France,BUTTER,2018-01-22,2018-01-28,438,FRA
125,2018,3,France,BUTTER,2018-01-15,2018-01-21,426,FRA
126,2018,2,France,BUTTER,2018-01-08,2018-01-14,419,FRA
127,2018,1,France,BUTTER,2018-01-01,2018-01-07,420,FRA
128,2019,52,France,BUTTER,2019-12-23,2019-12-29,378,FRA
129,2019,51,France,BUTTER,2019-12-16,2019-12-22,375,FRA
