,Begin Date,Month,Year,Price (�/100kg),scores,anomaly
0,2015-01-31,1,2015,653,0.025077214474272247,1
2,2015-03-31,3,2015,0,0.023078597331368966,1
3,2015-04-30,4,2015,633,-0.030123045686005323,-1
5,2015-06-30,6,2015,0,0.023078597331368966,1
6,2015-07-31,7,2015,0,0.023078597331368966,1
8,2015-09-30,9,2015,0,0.023078597331368966,1
9,2015-10-31,10,2015,0,0.023078597331368966,1
10,2015-11-30,11,2015,646,0.037440548103601534,1
11,2015-12-31,12,2015,0,0.023078597331368966,1
12,2016-01-31,1,2016,0,0.023078597331368966,1
14,2016-03-31,3,2016,0,0.023078597331368966,1
16,2016-05-31,5,2016,0,0.023078597331368966,1
17,2016-06-30,6,2016,0,0.023078597331368966,1
18,2016-07-31,7,2016,649,0.04861016940443785,1
19,2016-08-31,8,2016,0,0.023078597331368966,1
20,2016-09-30,9,2016,0,0.023078597331368966,1
22,2016-11-30,11,2016,1685,0.14834095409045572,1
23,2016-12-31,12,2016,1741,0.14447408137972884,1
24,2017-01-31,1,2017,2188,0.16026007445935592,1
25,2017-02-28,2,2017,1725,0.13518712412051015,1
26,2017-03-31,3,2017,1714,0.14580898635254075,1
27,2017-04-30,4,2017,1776,0.1485728526112684,1
28,2017-05-31,5,2017,2376,0.0825500091220075,1
29,2017-06-30,6,2017,2060,0.1112911391975887,1
30,2017-07-31,7,2017,3107,0.019027316824405394,1
31,2017-08-31,8,2017,2562,0.056521849035283456,1
32,2017-09-30,9,2017,2845,0.004190896810541744,1
33,2017-10-31,10,2017,3002,-0.0028601852250554893,-1
34,2017-11-30,11,2017,2122,0.1370148999523395,1
35,2017-12-31,12,2017,1549,0.0677802185520574,1
36,2018-01-31,1,2018,2129,0.13488407140930497,1
37,2018-02-28,2,2018,1784,0.14333565846218044,1
38,2018-03-31,3,2018,2016,0.12913680648109893,1
39,2018-04-30,4,2018,2577,0.042290519099653534,1
40,2018-05-31,5,2018,2407,0.07089481429974476,1
41,2018-06-30,6,2018,2444,0.05679386316695678,1
42,2018-07-31,7,2018,2960,-0.005093284232629891,-1
43,2018-08-31,8,2018,2214,0.12650727061393324,1
44,2018-09-30,9,2018,2189,0.157914559484841,1
45,2018-10-31,10,2018,2371,0.08082128085322104,1
46,2018-11-30,11,2018,1820,0.1459476955924504,1
47,2018-12-31,12,2018,2181,0.16176095052571493,1
48,2019-01-31,1,2019,1770,0.14936486204702054,1
49,2019-02-28,2,2019,1820,0.1459476955924504,1
50,2019-03-31,3,2019,1698,0.15212864585717645,1
51,2019-04-30,4,2019,2114,0.1336325221821797,1
52,2019-05-31,5,2019,1668,0.15871601043155786,1
53,2019-06-30,6,2019,1634,0.13489959112634697,1
54,2019-07-31,7,2019,1890,0.10216622094447936,1
55,2019-08-31,8,2019,1421,0.1160768831495611,1
56,2019-09-30,9,2019,1804,0.13260259657911788,1
57,2019-10-31,10,2019,1404,0.08722038186659875,1
58,2019-11-30,11,2019,1436,0.08692735763661519,1
59,2019-12-31,12,2019,1867,0.11787646838487786,1
60,2020-01-31,1,2020,1469,0.048646610680481595,1
61,2020-02-29,2,2020,1429,0.09976518615313851,1
62,2020-03-31,3,2020,1667,0.1572496420377376,1
63,2020-04-30,4,2020,1092,-0.011802276723034577,-1
64,2020-05-31,5,2020,1091,-0.012828260088849741,-1
65,2020-06-30,6,2020,1635,0.13298237301722804,1
66,2020-07-31,7,2020,1340,0.08599435632620361,1
67,2020-08-31,8,2020,673,-0.05727764205208685,-1
68,2020-09-30,9,2020,1376,0.06787292293440061,1
69,2020-10-31,10,2020,1341,0.10118333416968905,1
70,2020-11-30,11,2020,1674,0.15686415175775853,1
71,2020-12-31,12,2020,1292,0.00912251874173342,1
72,2021-01-31,1,2021,1341,0.10118333416968905,1
73,2021-02-28,2,2021,1420,0.11105170499221556,1
74,2021-03-31,3,2021,2010,0.11225805220750296,1
75,2021-04-30,4,2021,1707,0.14917114202440845,1
76,2021-05-31,5,2021,2200,0.14835115701321944,1
77,2021-06-30,6,2021,1766,0.15049771693977648,1
78,2021-07-31,7,2021,1650,0.13020335324524768,1
79,2021-08-31,8,2021,2020,0.12520603113755036,1
80,2021-09-30,9,2021,1624,0.10765675470118419,1
81,2021-10-31,10,2021,1826,0.1350868964537139,1
82,2021-11-30,11,2021,2180,0.16280941985389624,1
83,2021-12-31,12,2021,2235,0.08599287410427076,1
84,2022-01-31,1,2022,3090,-0.000454302610734425,-1
85,2022-02-28,2,2022,2567,0.06317750018792734,1
86,2022-03-31,3,2022,2682,-0.011503434435675142,-1
87,2022-04-30,4,2022,2888,0.00045430261073453604,1
90,2022-07-31,7,2022,3122,0.027261960064296042,1
91,2022-08-31,8,2022,3119,0.0284173665480123,1
92,2022-09-30,9,2022,3130,-0.0036589734832539467,-1
94,2022-11-30,11,2022,2784,0.0013201002325233802,1
