Year,Week,Member State,Product,Begin Date,End Date,Price (�/100kg)
2000,52,Belgium,BUTTER,25/12/2000,31/12/2000,326.1
2000,52,Denmark,BUTTER,25/12/2000,31/12/2000,376.7
2000,52,Germany,BUTTER,25/12/2000,31/12/2000,352.79
2000,52,Ireland,BUTTER,25/12/2000,31/12/2000,292.04
2000,52,Greece,BUTTER,25/12/2000,31/12/2000,460.16
2000,52,Spain,BUTTER,25/12/2000,31/12/2000,312.03
2000,52,France,BUTTER,25/12/2000,31/12/2000,327
2000,52,Austria,BUTTER,25/12/2000,31/12/2000,348.1
2000,51,Belgium,BUTTER,18/12/2000,24/12/2000,327.22
2000,51,Denmark,BUTTER,18/12/2000,24/12/2000,376.77
2000,51,Germany,BUTTER,18/12/2000,24/12/2000,352.79
2000,51,Ireland,BUTTER,18/12/2000,24/12/2000,292.04
2000,51,Greece,BUTTER,18/12/2000,24/12/2000,460.16
2000,51,Spain,BUTTER,18/12/2000,24/12/2000,312.03
2000,51,France,BUTTER,18/12/2000,24/12/2000,327
2000,51,Netherlands,BUTTER,18/12/2000,24/12/2000,324.45
2000,51,Austria,BUTTER,18/12/2000,24/12/2000,348.1
2000,50,Belgium,BUTTER,11/12/2000,17/12/2000,327.22
2000,50,Denmark,BUTTER,11/12/2000,17/12/2000,376.96
2000,50,Germany,BUTTER,11/12/2000,17/12/2000,352.79
2000,50,Ireland,BUTTER,11/12/2000,17/12/2000,292.04
2000,50,Greece,BUTTER,11/12/2000,17/12/2000,456.97
2000,50,Spain,BUTTER,11/12/2000,17/12/2000,318.73
2000,50,France,BUTTER,11/12/2000,17/12/2000,327
2000,50,Netherlands,BUTTER,11/12/2000,17/12/2000,331.26
2000,49,Belgium,BUTTER,04/12/2000,10/12/2000,327.96
2000,49,Denmark,BUTTER,04/12/2000,10/12/2000,376.94
2000,49,Germany,BUTTER,04/12/2000,10/12/2000,352.79
2000,49,Ireland,BUTTER,04/12/2000,10/12/2000,292.04
2000,49,Greece,BUTTER,04/12/2000,10/12/2000,457.12
2000,49,France,BUTTER,04/12/2000,10/12/2000,328.53
2000,49,Austria,BUTTER,04/12/2000,10/12/2000,348.1
2000,49,Sweden,BUTTER,04/12/2000,10/12/2000,385.41
2000,48,Belgium,BUTTER,27/11/2000,03/12/2000,328.83
2000,48,Denmark,BUTTER,27/11/2000,03/12/2000,376.77
2000,48,Germany,BUTTER,27/11/2000,03/12/2000,352.79
2000,48,Ireland,BUTTER,27/11/2000,03/12/2000,292.04
2000,48,Greece,BUTTER,27/11/2000,03/12/2000,457.36
2000,48,Spain,BUTTER,27/11/2000,03/12/2000,316.73
2000,48,France,BUTTER,27/11/2000,03/12/2000,328.53
2000,48,Netherlands,BUTTER,27/11/2000,03/12/2000,331.26
2000,48,Austria,BUTTER,27/11/2000,03/12/2000,348.1
2000,47,Belgium,BUTTER,20/11/2000,26/11/2000,327.47
2000,47,Denmark,BUTTER,20/11/2000,26/11/2000,376.67
2000,47,Germany,BUTTER,20/11/2000,26/11/2000,352.79
2000,47,Ireland,BUTTER,20/11/2000,26/11/2000,304.74
2000,47,Greece,BUTTER,20/11/2000,26/11/2000,457.64
2000,47,Spain,BUTTER,20/11/2000,26/11/2000,316.73
2000,47,France,BUTTER,20/11/2000,26/11/2000,328.53
2000,47,Netherlands,BUTTER,20/11/2000,26/11/2000,331.26
2000,47,Austria,BUTTER,20/11/2000,26/11/2000,348.1
2000,46,Belgium,BUTTER,13/11/2000,19/11/2000,328.71
2000,46,Denmark,BUTTER,13/11/2000,19/11/2000,376.76
2000,46,Germany,BUTTER,13/11/2000,19/11/2000,352.79
2000,46,Ireland,BUTTER,13/11/2000,19/11/2000,304.74
2000,46,Greece,BUTTER,13/11/2000,19/11/2000,457.75
2000,46,Spain,BUTTER,13/11/2000,19/11/2000,316.73
2000,46,France,BUTTER,13/11/2000,19/11/2000,329.29
2000,46,Netherlands,BUTTER,13/11/2000,19/11/2000,335.8
2000,46,Austria,BUTTER,13/11/2000,19/11/2000,348.1
2000,45,Belgium,BUTTER,06/11/2000,12/11/2000,328.83
2000,45,Denmark,BUTTER,06/11/2000,12/11/2000,377.03
2000,45,Germany,BUTTER,06/11/2000,12/11/2000,352.79
2000,45,Ireland,BUTTER,06/11/2000,12/11/2000,304.74
2000,45,Greece,BUTTER,06/11/2000,12/11/2000,457.94
2000,45,Spain,BUTTER,06/11/2000,12/11/2000,315.73
2000,45,France,BUTTER,06/11/2000,12/11/2000,330.05
2000,45,Netherlands,BUTTER,06/11/2000,12/11/2000,335.8
2000,45,Austria,BUTTER,06/11/2000,12/11/2000,348.1
2000,44,Belgium,BUTTER,30/10/2000,05/11/2000,328.21
2000,44,Denmark,BUTTER,30/10/2000,05/11/2000,377.45
2000,44,Germany,BUTTER,30/10/2000,05/11/2000,355.35
2000,44,Ireland,BUTTER,30/10/2000,05/11/2000,304.74
2000,44,Greece,BUTTER,30/10/2000,05/11/2000,458.36
2000,44,Spain,BUTTER,30/10/2000,05/11/2000,318.76
2000,44,France,BUTTER,30/10/2000,05/11/2000,330.05
2000,44,Netherlands,BUTTER,30/10/2000,05/11/2000,335.8
2000,44,Austria,BUTTER,30/10/2000,05/11/2000,348.1
2000,43,Belgium,BUTTER,23/10/2000,29/10/2000,329.2
2000,43,Germany,BUTTER,23/10/2000,29/10/2000,355.35
2000,43,Ireland,BUTTER,23/10/2000,29/10/2000,304.74
2000,43,Greece,BUTTER,23/10/2000,29/10/2000,458.58
2000,43,Spain,BUTTER,23/10/2000,29/10/2000,311.02
2000,43,France,BUTTER,23/10/2000,29/10/2000,330.05
2000,43,Netherlands,BUTTER,23/10/2000,29/10/2000,335.8
2000,43,Austria,BUTTER,23/10/2000,29/10/2000,348.1
2000,43,Sweden,BUTTER,23/10/2000,29/10/2000,391.61
2000,42,Belgium,BUTTER,16/10/2000,22/10/2000,329.33
2000,42,Denmark,BUTTER,16/10/2000,22/10/2000,377.44
2000,42,Germany,BUTTER,16/10/2000,22/10/2000,355.35
2000,42,Ireland,BUTTER,16/10/2000,22/10/2000,304.74
2000,42,Greece,BUTTER,16/10/2000,22/10/2000,458.72
2000,42,France,BUTTER,16/10/2000,22/10/2000,330.81
2000,42,Netherlands,BUTTER,16/10/2000,22/10/2000,335.8
2000,42,Austria,BUTTER,16/10/2000,22/10/2000,348.1
2000,42,Sweden,BUTTER,16/10/2000,22/10/2000,390.09
2000,41,Belgium,BUTTER,09/10/2000,15/10/2000,329.33
2000,41,Denmark,BUTTER,09/10/2000,15/10/2000,377.18
2000,41,Germany,BUTTER,09/10/2000,15/10/2000,355.35
2000,41,Ireland,BUTTER,09/10/2000,15/10/2000,304.74
2000,41,Greece,BUTTER,09/10/2000,15/10/2000,458.73
2000,41,Spain,BUTTER,09/10/2000,15/10/2000,315.53
2000,41,France,BUTTER,09/10/2000,15/10/2000,330.81
2000,41,Netherlands,BUTTER,09/10/2000,15/10/2000,335.8
2000,41,Austria,BUTTER,09/10/2000,15/10/2000,348.1
2000,40,Belgium,BUTTER,02/10/2000,08/10/2000,328.95
2000,40,Denmark,BUTTER,02/10/2000,08/10/2000,376.98
2000,40,Germany,BUTTER,02/10/2000,08/10/2000,355.35
2000,40,Ireland,BUTTER,02/10/2000,08/10/2000,304.74
2000,40,Greece,BUTTER,02/10/2000,08/10/2000,458.84
2000,40,Spain,BUTTER,02/10/2000,08/10/2000,309.52
2000,40,France,BUTTER,02/10/2000,08/10/2000,328.53
2000,40,Netherlands,BUTTER,02/10/2000,08/10/2000,335.8
2000,40,Austria,BUTTER,02/10/2000,08/10/2000,348.1
2000,39,Belgium,BUTTER,25/09/2000,01/10/2000,326.85
2000,39,Denmark,BUTTER,25/09/2000,01/10/2000,376.58
2000,39,Germany,BUTTER,25/09/2000,01/10/2000,355.35
2000,39,Ireland,BUTTER,25/09/2000,01/10/2000,304.74
2000,39,Greece,BUTTER,25/09/2000,01/10/2000,458.92
2000,39,Spain,BUTTER,25/09/2000,01/10/2000,312.53
2000,39,France,BUTTER,25/09/2000,01/10/2000,328.53
2000,39,Netherlands,BUTTER,25/09/2000,01/10/2000,335.8
2000,39,Austria,BUTTER,25/09/2000,01/10/2000,348.1
2000,38,Belgium,BUTTER,18/09/2000,24/09/2000,326.35
2000,38,Denmark,BUTTER,18/09/2000,24/09/2000,376.39
2000,38,Germany,BUTTER,18/09/2000,24/09/2000,355.35
2000,38,Ireland,BUTTER,18/09/2000,24/09/2000,292.04
2000,38,Greece,BUTTER,18/09/2000,24/09/2000,459.38
2000,38,Spain,BUTTER,18/09/2000,24/09/2000,312.53
2000,38,France,BUTTER,18/09/2000,24/09/2000,328.53
2000,38,Netherlands,BUTTER,18/09/2000,24/09/2000,335.8
2000,38,Austria,BUTTER,18/09/2000,24/09/2000,345.92
2000,37,Belgium,BUTTER,11/09/2000,17/09/2000,325.36
2000,37,Denmark,BUTTER,11/09/2000,17/09/2000,376.53
2000,37,Germany,BUTTER,11/09/2000,17/09/2000,355.35
2000,37,Ireland,BUTTER,11/09/2000,17/09/2000,292.04
2000,37,Greece,BUTTER,11/09/2000,17/09/2000,460.19
2000,37,France,BUTTER,11/09/2000,17/09/2000,327.46
2000,37,Italy,BUTTER,11/09/2000,17/09/2000,264.32
2000,37,Netherlands,BUTTER,11/09/2000,17/09/2000,335.8
2000,37,Austria,BUTTER,11/09/2000,17/09/2000,342.29
2000,37,Sweden,BUTTER,11/09/2000,17/09/2000,396.37
2000,36,Belgium,BUTTER,04/09/2000,10/09/2000,325.36
2000,36,Denmark,BUTTER,04/09/2000,10/09/2000,376.72
2000,36,Germany,BUTTER,04/09/2000,10/09/2000,355.35
2000,36,Ireland,BUTTER,04/09/2000,10/09/2000,292.04
2000,36,Greece,BUTTER,04/09/2000,10/09/2000,460.92
2000,36,Spain,BUTTER,04/09/2000,10/09/2000,311.02
2000,36,France,BUTTER,04/09/2000,10/09/2000,325.48
2000,36,Italy,BUTTER,04/09/2000,10/09/2000,264.32
2000,36,Netherlands,BUTTER,04/09/2000,10/09/2000,331.26
2000,36,Austria,BUTTER,04/09/2000,10/09/2000,342.29
2000,36,Sweden,BUTTER,04/09/2000,10/09/2000,396.79
2000,35,Belgium,BUTTER,28/08/2000,03/09/2000,324
2000,35,Denmark,BUTTER,28/08/2000,03/09/2000,376.83
2000,35,Germany,BUTTER,28/08/2000,03/09/2000,350.23
2000,35,Ireland,BUTTER,28/08/2000,03/09/2000,292.04
2000,35,Greece,BUTTER,28/08/2000,03/09/2000,461.25
2000,35,Spain,BUTTER,28/08/2000,03/09/2000,312.53
2000,35,France,BUTTER,28/08/2000,03/09/2000,324.72
2000,35,Italy,BUTTER,28/08/2000,03/09/2000,256.58
2000,35,Netherlands,BUTTER,28/08/2000,03/09/2000,331.26
2000,35,Austria,BUTTER,28/08/2000,03/09/2000,342.29
2000,35,Sweden,BUTTER,28/08/2000,03/09/2000,326.97
2000,34,Belgium,BUTTER,21/08/2000,27/08/2000,323.75
2000,34,Denmark,BUTTER,21/08/2000,27/08/2000,376.81
2000,34,Germany,BUTTER,21/08/2000,27/08/2000,350.23
2000,34,Ireland,BUTTER,21/08/2000,27/08/2000,292.04
2000,34,Greece,BUTTER,21/08/2000,27/08/2000,461.5
2000,34,Spain,BUTTER,21/08/2000,27/08/2000,312.53
2000,34,France,BUTTER,21/08/2000,27/08/2000,324.72
2000,34,Netherlands,BUTTER,21/08/2000,27/08/2000,331.26
2000,34,Austria,BUTTER,21/08/2000,27/08/2000,342.29
2000,34,Sweden,BUTTER,21/08/2000,27/08/2000,328.02
2000,33,Belgium,BUTTER,14/08/2000,20/08/2000,323.75
2000,33,Denmark,BUTTER,14/08/2000,20/08/2000,376.71
