Year,Week,State,Product,Begin Date,End Date,Price (�/100kg),country_codes
2015,47,France,BUTTER,16/11/2015,22/11/2015,325.2,FRA
2015,46,France,BUTTER,09/11/2015,15/11/2015,321.5,FRA
2015,36,France,BUTTER,31/08/2015,06/09/2015,274.4,FRA
2015,35,France,BUTTER,24/08/2015,30/08/2015,279.2,FRA
2015,32,France,BUTTER,03/08/2015,09/08/2015,290,FRA
2015,20,France,BUTTER,11/05/2015,17/05/2015,301.7,FRA
2015,17,France,BUTTER,20/04/2015,26/04/2015,307.5,FRA
2015,15,France,BUTTER,06/04/2015,12/04/2015,326.8,FRA
2015,7,France,BUTTER,09/02/2015,15/02/2015,333.1,FRA
2015,3,France,BUTTER,12/01/2015,18/01/2015,296.3,FRA
2015,2,France,BUTTER,05/01/2015,11/01/2015,357,FRA
2016,52,France,BUTTER,26/12/2016,01/01/2017,444.9,FRA
2016,51,France,BUTTER,19/12/2016,25/12/2016,431.5,FRA
2016,50,France,BUTTER,12/12/2016,18/12/2016,433.8,FRA
2016,49,France,BUTTER,05/12/2016,11/12/2016,433.9,FRA
2016,48,France,BUTTER,28/11/2016,04/12/2016,429.1,FRA
2016,47,France,BUTTER,21/11/2016,27/11/2016,423.2,FRA
2016,46,France,BUTTER,14/11/2016,20/11/2016,419.6,FRA
2016,45,France,BUTTER,07/11/2016,13/11/2016,414.7,FRA
2016,41,France,BUTTER,10/10/2016,16/10/2016,444.1,FRA
2016,28,France,BUTTER,11/07/2016,17/07/2016,326.3,FRA
2016,27,France,BUTTER,04/07/2016,10/07/2016,323.4,FRA
2016,15,France,BUTTER,11/04/2016,17/04/2016,240,FRA
2016,8,France,BUTTER,22/02/2016,28/02/2016,270,FRA
2016,6,France,BUTTER,08/02/2016,14/02/2016,268.4,FRA
2017,52,France,BUTTER,25/12/2017,31/12/2017,423.1,FRA
2017,50,France,BUTTER,11/12/2017,17/12/2017,559,FRA
2017,49,France,BUTTER,04/12/2017,10/12/2017,567.8,FRA
2017,48,France,BUTTER,27/11/2017,03/12/2017,546.3,FRA
2017,47,France,BUTTER,20/11/2017,26/11/2017,539.8,FRA
2017,46,France,BUTTER,13/11/2017,19/11/2017,513.4,FRA
2017,45,France,BUTTER,06/11/2017,12/11/2017,524.6,FRA
2017,44,France,BUTTER,30/10/2017,05/11/2017,424.2,FRA
2017,43,France,BUTTER,23/10/2017,29/10/2017,603.2,FRA
2017,42,France,BUTTER,16/10/2017,22/10/2017,646.9,FRA
2017,41,France,BUTTER,09/10/2017,15/10/2017,661.4,FRA
2017,40,France,BUTTER,02/10/2017,08/10/2017,668.1,FRA
2017,39,France,BUTTER,25/09/2017,01/10/2017,682.3,FRA
2017,38,France,BUTTER,18/09/2017,24/09/2017,718.8,FRA
2017,37,France,BUTTER,11/09/2017,17/09/2017,718.2,FRA
2017,36,France,BUTTER,04/09/2017,10/09/2017,727.1,FRA
2017,35,France,BUTTER,28/08/2017,03/09/2017,690.4,FRA
2017,34,France,BUTTER,21/08/2017,27/08/2017,630.2,FRA
2017,33,France,BUTTER,14/08/2017,20/08/2017,624.9,FRA
2017,32,France,BUTTER,07/08/2017,13/08/2017,618.4,FRA
2017,31,France,BUTTER,31/07/2017,06/08/2017,614.2,FRA
2017,30,France,BUTTER,24/07/2017,30/07/2017,640.9,FRA
2017,29,France,BUTTER,17/07/2017,23/07/2017,629.4,FRA
2017,28,France,BUTTER,10/07/2017,16/07/2017,630.9,FRA
2017,27,France,BUTTER,03/07/2017,09/07/2017,594.8,FRA
2017,26,France,BUTTER,26/06/2017,02/07/2017,579.5,FRA
2017,25,France,BUTTER,19/06/2017,25/06/2017,503.7,FRA
2017,24,France,BUTTER,12/06/2017,18/06/2017,488.6,FRA
2017,23,France,BUTTER,05/06/2017,11/06/2017,490,FRA
2017,22,France,BUTTER,29/05/2017,04/06/2017,476.1,FRA
2017,21,France,BUTTER,22/05/2017,28/05/2017,490.6,FRA
2017,20,France,BUTTER,15/05/2017,21/05/2017,487.3,FRA
2017,19,France,BUTTER,08/05/2017,14/05/2017,470,FRA
2017,18,France,BUTTER,01/05/2017,07/05/2017,453.4,FRA
2017,17,France,BUTTER,24/04/2017,30/04/2017,447.5,FRA
2017,16,France,BUTTER,17/04/2017,23/04/2017,449.7,FRA
2017,15,France,BUTTER,10/04/2017,16/04/2017,441.8,FRA
2017,14,France,BUTTER,03/04/2017,09/04/2017,439.1,FRA
2017,13,France,BUTTER,27/03/2017,02/04/2017,437.5,FRA
2017,12,France,BUTTER,20/03/2017,26/03/2017,428.5,FRA
2017,11,France,BUTTER,13/03/2017,19/03/2017,426.3,FRA
2017,10,France,BUTTER,06/03/2017,12/03/2017,423.2,FRA
2017,9,France,BUTTER,27/02/2017,05/03/2017,430.2,FRA
2017,8,France,BUTTER,20/02/2017,26/02/2017,429.9,FRA
2017,7,France,BUTTER,13/02/2017,19/02/2017,431.3,FRA
2017,6,France,BUTTER,06/02/2017,12/02/2017,435,FRA
2017,5,France,BUTTER,30/01/2017,05/02/2017,437.5,FRA
