Member State,Member State Code,Category,Year,Month,Thousand tonnes
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,January,35.93
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,February,34.27
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,March,39.32
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,April,37.3
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,May,36.52
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,June,32.8
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,July,30.51
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,August,28.83
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2022,September,29.25
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,January,35.95
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,February,34.07
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,March,39.83
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,April,37.54
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,May,36.2
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,June,32.51
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,July,32.09
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,August,28.68
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,September,29.82
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,October,31.41
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,November,32.28
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2021,December,37.22
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,January,41.59
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,February,36.03
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,March,39.88
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,April,39.29
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,May,35.01
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,June,31.99
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,July,31.55
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,August,26.39
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,September,29.12
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,October,31.97
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,November,32.31
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2020,December,37.97
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,January,41.06
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,February,36.8
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,March,38.3
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,April,39.56
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,May,37.24
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,June,31.61
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,July,31.32
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,August,27.33
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,September,27.04
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,October,31.84
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,November,31.93
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2019,December,40.2
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,January,43.01
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,February,37.82
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,March,42.15
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,April,39.74
France,FR,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2018,May,39.62
