Year,Month,Member State,Product,Price(€/100kg)
2022,Jan,Belgium,Raw milk,45.13
2022,Jan,Bulgaria,Raw milk,37.61
2022,Jan,Czechia,Raw milk,39.82
2022,Jan,Denmark,Raw milk,43.68
2022,Jan,Germany,Raw milk,43.03
2022,Jan,Estonia,Raw milk,38.67
2022,Jan,Ireland,Raw milk,46.03
2022,Jan,Greece,Raw milk,44.22
2022,Jan,Spain,Raw milk,36.02
2022,Jan,France,Raw milk,40.73
2022,Jan,Croatia,Raw milk,36.14
2022,Jan,Italy,Raw milk,39.89
2022,Jan,Cyprus,Raw milk,58.22
2022,Jan,Latvia,Raw milk,41.72
2022,Jan,Lithuania,Raw milk,44.23
2022,Jan,Hungary,Raw milk,36.01
2022,Jan,Malta,Raw milk,62
2022,Jan,Netherlands,Raw milk,45
2022,Jan,Austria,Raw milk,42.4
2022,Jan,Poland,Raw milk,40.09
2022,Jan,Portugal,Raw milk,34.19
2022,Jan,Romania,Raw milk,40.41
2022,Jan,Slovenia,Raw milk,35.93
2022,Jan,Slovakia,Raw milk,37.18
2022,Jan,Finland,Raw milk,42.38
2022,Jan,Sweden,Raw milk,42.9
2021,Jan,Belgium,Raw milk,32.87
2021,Jan,Bulgaria,Raw milk,32.54
2021,Jan,Czechia,Raw milk,32.76
2021,Jan,Denmark,Raw milk,33.74
2021,Jan,Germany,Raw milk,34.71
2021,Jan,Estonia,Raw milk,29.66
2021,Jan,Ireland,Raw milk,35.64
2021,Jan,Greece,Raw milk,38.55
2021,Jan,Spain,Raw milk,33.01
2021,Jan,France,Raw milk,36.94
2021,Jan,Croatia,Raw milk,33.87
2021,Jan,Italy,Raw milk,35.97
2021,Jan,Cyprus,Raw milk,58.67
2021,Jan,Latvia,Raw milk,29.18
2021,Jan,Lithuania,Raw milk,31.41
2021,Jan,Hungary,Raw milk,30.78
2021,Jan,Malta,Raw milk,53.03
2021,Jan,Netherlands,Raw milk,34.25
2021,Jan,Austria,Raw milk,39.32
2021,Jan,Poland,Raw milk,32.91
2021,Jan,Portugal,Raw milk,30.39
2021,Jan,Romania,Raw milk,32.44
2021,Jan,Slovenia,Raw milk,31.95
2021,Jan,Slovakia,Raw milk,32.17
2021,Jan,Finland,Raw milk,38.84
