STATISTIC,STATISTIC Label,TLIST(A1),Year,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJA08,Feed Stuff Price,2014,2014,1,Rolled barley,Euro per Tonne,222.2310764
AJA08,Feed Stuff Price,2014,2014,4,Soya bean meal,Euro per Tonne,457.5264194
AJA08,Feed Stuff Price,2014,2014,5,Barley meal,Euro per Tonne,207.1041667
AJA08,Feed Stuff Price,2014,2014,6,Maize meal,Euro per Tonne,235.0763759
AJA08,Feed Stuff Price,2014,2014,7,Flaked maize,Euro per Tonne,304.6736111
AJA08,Feed Stuff Price,2014,2014,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2014,2014,10,Pig fattening meal (13-15% protein),Euro per Tonne,312.3333333
AJA08,Feed Stuff Price,2014,2014,11,Sow breeder (14-16% protein),Euro per Tonne,307.1944444
AJA08,Feed Stuff Price,2014,2014,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJA08,Feed Stuff Price,2014,2014,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,306.4386008
AJA08,Feed Stuff Price,2014,2014,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2014,2014,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2014,2014,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,281.3582378
AJA08,Feed Stuff Price,2014,2014,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,285.0239084
AJA08,Feed Stuff Price,2014,2014,18,Dairy meal (16-18% protein),Euro per Tonne,275.6844877
AJA08,Feed Stuff Price,2014,2014,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2014,2014,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2014,2014,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2014,2014,22,Layers' mash (14-16% protein),Euro per Tonne,351.5444444
AJA08,Feed Stuff Price,2014,2014,23,Broiler starter (22-24% protein),Euro per Tonne,517.9166667
AJA08,Feed Stuff Price,2014,2014,24,Broiler finisher (19-21% protein),Euro per Tonne,479.0357143
AJA08,Feed Stuff Price,2014,2014,25,Milk replacer,Euro per Tonne,2252.300084
AJA08,Feed Stuff Price,2014,2014,26,Wheat,Euro per Tonne,203.406746
AJA08,Feed Stuff Price,2014,2014,27,Ewe feed coarse (16-20% protein),Euro per Tonne,282.9016955
AJA08,Feed Stuff Price,2014,2014,28,Ewe pellets/nuts (16-20%),Euro per Tonne,289.1611902
AJA08,Feed Stuff Price,2014,2014,29,Lamb feed (16-20% protein),Euro per Tonne,304.0171717
AJA08,Feed Stuff Price,2014,2014,30,Cattle fattening meal (13-15% protein),Euro per Tonne,273.3175489
AJA08,Feed Stuff Price,2015,2015,1,Rolled barley,Euro per Tonne,198.5438991
AJA08,Feed Stuff Price,2015,2015,4,Soya bean meal,Euro per Tonne,416.9392399
AJA08,Feed Stuff Price,2015,2015,5,Barley meal,Euro per Tonne,199.7333333
AJA08,Feed Stuff Price,2015,2015,6,Maize meal,Euro per Tonne,221.7062174
AJA08,Feed Stuff Price,2015,2015,7,Flaked maize,Euro per Tonne,283.7708333
AJA08,Feed Stuff Price,2015,2015,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,10,Pig fattening meal (13-15% protein),Euro per Tonne,264.3333333
AJA08,Feed Stuff Price,2015,2015,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,293.6191994
AJA08,Feed Stuff Price,2015,2015,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,263.8094137
AJA08,Feed Stuff Price,2015,2015,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,271.7511588
AJA08,Feed Stuff Price,2015,2015,18,Dairy meal (16-18% protein),Euro per Tonne,265.6012446
AJA08,Feed Stuff Price,2015,2015,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,22,Layers' mash (14-16% protein),Euro per Tonne,320.75
AJA08,Feed Stuff Price,2015,2015,23,Broiler starter (22-24% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2015,2015,25,Milk replacer,Euro per Tonne,2073.481482
AJA08,Feed Stuff Price,2015,2015,26,Wheat,Euro per Tonne,192.2485119
AJA08,Feed Stuff Price,2015,2015,27,Ewe feed coarse (16-20% protein),Euro per Tonne,270.0026335
AJA08,Feed Stuff Price,2015,2015,28,Ewe pellets/nuts (16-20%),Euro per Tonne,273.5734751
AJA08,Feed Stuff Price,2015,2015,29,Lamb feed (16-20% protein),Euro per Tonne,285.8792719
AJA08,Feed Stuff Price,2015,2015,30,Cattle fattening meal (13-15% protein),Euro per Tonne,255.4089922
AJA08,Feed Stuff Price,2016,2016,1,Rolled barley,Euro per Tonne,187.9290598
AJA08,Feed Stuff Price,2016,2016,4,Soya bean meal,Euro per Tonne,405.0031136
AJA08,Feed Stuff Price,2016,2016,5,Barley meal,Euro per Tonne,182.25
AJA08,Feed Stuff Price,2016,2016,6,Maize meal,Euro per Tonne,227.9342949
AJA08,Feed Stuff Price,2016,2016,7,Flaked maize,Euro per Tonne,277.4166667
AJA08,Feed Stuff Price,2016,2016,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,10,Pig fattening meal (13-15% protein),Euro per Tonne,259.75
AJA08,Feed Stuff Price,2016,2016,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,298.2854167
AJA08,Feed Stuff Price,2016,2016,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,266.29654
AJA08,Feed Stuff Price,2016,2016,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,272.1953761
AJA08,Feed Stuff Price,2016,2016,18,Dairy meal (16-18% protein),Euro per Tonne,255.6666667
AJA08,Feed Stuff Price,2016,2016,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,22,Layers' mash (14-16% protein),Euro per Tonne,345
AJA08,Feed Stuff Price,2016,2016,23,Broiler starter (22-24% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2016,2016,25,Milk replacer,Euro per Tonne,1996.265467
AJA08,Feed Stuff Price,2016,2016,26,Wheat,Euro per Tonne,182.1349206
AJA08,Feed Stuff Price,2016,2016,27,Ewe feed coarse (16-20% protein),Euro per Tonne,268.1568603
AJA08,Feed Stuff Price,2016,2016,28,Ewe pellets/nuts (16-20%),Euro per Tonne,278.6382576
AJA08,Feed Stuff Price,2016,2016,29,Lamb feed (16-20% protein),Euro per Tonne,296.4708333
AJA08,Feed Stuff Price,2016,2016,30,Cattle fattening meal (13-15% protein),Euro per Tonne,254.9488515
AJA08,Feed Stuff Price,2017,2017,1,Rolled barley,Euro per Tonne,200.410192
AJA08,Feed Stuff Price,2017,2017,4,Soya bean meal,Euro per Tonne,397.7361111
AJA08,Feed Stuff Price,2017,2017,5,Barley meal,Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,6,Maize meal,Euro per Tonne,231.2051282
AJA08,Feed Stuff Price,2017,2017,7,Flaked maize,Euro per Tonne,305.5555556
AJA08,Feed Stuff Price,2017,2017,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,10,Pig fattening meal (13-15% protein),Euro per Tonne,299.75
AJA08,Feed Stuff Price,2017,2017,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,360.75
AJA08,Feed Stuff Price,2017,2017,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,292.9435049
AJA08,Feed Stuff Price,2017,2017,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,264.8597405
AJA08,Feed Stuff Price,2017,2017,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,270.4258643
AJA08,Feed Stuff Price,2017,2017,18,Dairy meal (16-18% protein),Euro per Tonne,246.580303
AJA08,Feed Stuff Price,2017,2017,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,22,Layers' mash (14-16% protein),Euro per Tonne,351.8409091
AJA08,Feed Stuff Price,2017,2017,23,Broiler starter (22-24% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2017,2017,25,Milk replacer,Euro per Tonne,2013.688131
AJA08,Feed Stuff Price,2017,2017,26,Wheat,Euro per Tonne,192.619213
AJA08,Feed Stuff Price,2017,2017,27,Ewe feed coarse (16-20% protein),Euro per Tonne,265.7753173
AJA08,Feed Stuff Price,2017,2017,28,Ewe pellets/nuts (16-20%),Euro per Tonne,280.4234654
AJA08,Feed Stuff Price,2017,2017,29,Lamb feed (16-20% protein),Euro per Tonne,299.1215278
AJA08,Feed Stuff Price,2017,2017,30,Cattle fattening meal (13-15% protein),Euro per Tonne,251.865768
AJA08,Feed Stuff Price,2018,2018,1,Rolled barley,Euro per Tonne,236.8611111
AJA08,Feed Stuff Price,2018,2018,4,Soya bean meal,Euro per Tonne,408.8111111
AJA08,Feed Stuff Price,2018,2018,5,Barley meal,Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,6,Maize meal,Euro per Tonne,230.8299756
AJA08,Feed Stuff Price,2018,2018,7,Flaked maize,Euro per Tonne,379.8472222
AJA08,Feed Stuff Price,2018,2018,9,Pig grower (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,10,Pig fattening meal (13-15% protein),Euro per Tonne,312.6666667
AJA08,Feed Stuff Price,2018,2018,11,Sow breeder (14-16% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,368.0833333
AJA08,Feed Stuff Price,2018,2018,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,314.5010965
AJA08,Feed Stuff Price,2018,2018,14,Calf meal (16-18% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,279.1583333
AJA08,Feed Stuff Price,2018,2018,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,288.6238095
AJA08,Feed Stuff Price,2018,2018,18,Dairy meal (16-18% protein),Euro per Tonne,270.0050505
AJA08,Feed Stuff Price,2018,2018,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,20,Dairy meal (13-15% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,21,Chick mash (18-20% protein),Euro per Tonne,
AJA08,Feed Stuff Price,2018,2018,22,Layers' mash (14-16% protein),Euro per Tonne,365.7833333
AJA08,Feed Stuff Price,2018,2018,23,Broiler starter (22-24% protein),Euro per Tonne,424.8454546
AJA08,Feed Stuff Price,2018,2018,24,Broiler finisher (19-21% protein),Euro per Tonne,411.2045455
AJA08,Feed Stuff Price,2018,2018,25,Milk replacer,Euro per Tonne,2090.957151
