,Begin Date, IrishButterPrice,Month, FrenchButterPrice 
0,2014-12-31,283.97,12,
1,2015-01-31,1135.88,1,
2,2015-02-28,1135.88,2,
3,2015-03-31,1529.42,3,
4,2015-04-30,1245.47,4,
5,2015-05-31,1215.56,5,
6,2015-06-30,1464.67,6,
7,2015-07-31,1155.8,7,
8,2015-08-31,1394.95,8,
9,2015-09-30,1115.96,9,
10,2015-10-31,1115.96,10,
11,2015-11-30,1394.95,11,
12,2015-12-31,1115.96,12,
13,2016-01-31,1115.96,1,
14,2016-02-29,1394.95,2,
15,2016-03-31,1115.96,3,
16,2016-04-30,1115.96,4,
17,2016-05-31,1195.65,5,
18,2016-06-30,936.6,6,
19,2016-07-31,956.52,7,
20,2016-08-31,1430.8000000000002,8,
21,2016-09-30,1275.37,9,
22,2016-10-31,1837.31,10,
23,2016-11-30,1582.24,11,
24,2016-12-31,1641.13,12,
25,2017-01-31,2091.08,1,
26,2017-02-28,1630.66,2,
27,2017-03-31,1583.44,3,
28,2017-04-30,1566.32,4,
29,2017-05-31,2061.4900000000002,5,
30,2017-06-30,1754.44,6,
31,2017-07-31,2668.59,7,
32,2017-08-31,2392.21,8,
33,2017-09-30,2467.84,9,
34,2017-10-31,3269.89,10,
35,2017-11-30,2452.68,11,
36,2017-12-31,2017.88,12,
37,2018-01-31,2351.3500000000004,1,
38,2018-02-28,1721.36,2,
39,2018-03-31,1695.44,3,
40,2018-04-30,2394.29,4,
41,2018-05-31,2062.12,5,
42,2018-06-30,2316.88,6,
43,2018-07-31,2847.35,7,
44,2018-08-31,2141.8,8,
45,2018-09-30,2130.24,9,
46,2018-10-31,2652.8500000000004,10,
47,2018-11-30,1820.96,11,
48,2018-12-31,2114.7999999999997,12,
49,2019-01-31,1639.64,1,
50,2019-02-28,1693.84,2,
51,2019-03-31,1694.64,3,
52,2019-04-30,1985.8000000000002,4,
53,2019-05-31,1604.96,5,
54,2019-06-30,1599.0,6,
55,2019-07-31,1848.19,7,
56,2019-08-31,1401.72,8,
57,2019-09-30,1658.45,9,
58,2019-10-31,1337.12,10,
59,2019-11-30,1363.04,11,
60,2019-12-31,1711.3,12,
61,2020-01-31,1382.96,1,
62,2020-02-29,1377.0,2,
63,2020-03-31,1720.65,3,
64,2020-04-30,1330.45,4,
65,2020-05-31,1051.69,5,
66,2020-06-30,1324.3,6,
67,2020-07-31,1214.3999999999999,7,
68,2020-08-31,1615.1499999999999,8,
69,2020-09-30,1337.65,9,
70,2020-10-31,1345.12,10,
71,2020-11-30,1681.3999999999999,11,
72,2020-12-31,1345.12,12,
73,2021-01-31,1334.75,1,
74,2021-02-28,1286.8999999999999,2,
75,2021-03-31,1651.9899999999998,3,
76,2021-04-30,1408.8799999999999,4,
77,2021-05-31,1957.07,5,
78,2021-06-30,1556.43,6,
79,2021-07-31,1565.81,7,
80,2021-08-31,1885.1599999999999,8,
81,2021-09-30,1517.49,9,
82,2021-10-31,1621.31,10,
83,2021-11-30,2282.01,11,
84,2021-12-31,2078.44,12,
85,2022-01-31,2812.76,1,
86,2022-02-28,2445.1,2,
87,2022-03-31,2466.0299999999997,3,
88,2022-04-30,2500.8999999999996,4,
89,2022-05-31,3327.4,5,
90,2022-06-30,2887.5,6,
91,2022-07-31,2934.3199999999997,7,
92,2022-08-31,3621.81,8,
93,2022-09-30,2956.74,9,
94,2022-10-31,3629.81,10,
95,2022-11-30,2680.26,11,
0,2015-01-31,,1,653.3
1,2015-02-28,,2,333.1
2,2015-03-31,,3,0.0
3,2015-04-30,,4,634.3
4,2015-05-31,,5,301.7
5,2015-06-30,,6,0.0
6,2015-07-31,,7,0.0
7,2015-08-31,,8,843.5999999999999
8,2015-09-30,,9,0.0
9,2015-10-31,,10,0.0
10,2015-11-30,,11,646.7
11,2015-12-31,,12,0.0
12,2016-01-31,,1,0.0
13,2016-02-29,,2,538.4
14,2016-03-31,,3,0.0
15,2016-04-30,,4,240.0
16,2016-05-31,,5,0.0
17,2016-06-30,,6,0.0
18,2016-07-31,,7,649.7
19,2016-08-31,,8,0.0
20,2016-09-30,,9,0.0
21,2016-10-31,,10,444.1
22,2016-11-30,,11,1686.6
23,2016-12-31,,12,1744.1
24,2017-01-31,,1,2190.0
25,2017-02-28,,2,1726.4
26,2017-03-31,,3,1715.5
27,2017-04-30,,4,1778.1
28,2017-05-31,,5,2377.4
29,2017-06-30,,6,2061.8
30,2017-07-31,,7,3110.2
31,2017-08-31,,8,2563.9
32,2017-09-30,,9,2846.4
33,2017-10-31,,10,3003.8
34,2017-11-30,,11,2124.1
35,2017-12-31,,12,1549.9
36,2018-01-31,,1,2129.9
37,2018-02-28,,2,1784.8000000000002
38,2018-03-31,,3,2017.2
39,2018-04-30,,4,2577.7
40,2018-05-31,,5,2409.5
41,2018-06-30,,6,2445.9
42,2018-07-31,,7,2963.5
43,2018-08-31,,8,2215.7
44,2018-09-30,,9,2190.4
45,2018-10-31,,10,2373.4
46,2018-11-30,,11,1822.2
47,2018-12-31,,12,2184.6
48,2019-01-31,,1,1772.2
49,2019-02-28,,2,1821.8
50,2019-03-31,,3,1699.8
51,2019-04-30,,4,2117.0
52,2019-05-31,,5,1670.3
53,2019-06-30,,6,1636.0
54,2019-07-31,,7,1892.0
55,2019-08-31,,8,1423.0
56,2019-09-30,,9,1807.1
57,2019-10-31,,10,1406.4
58,2019-11-30,,11,1437.4
59,2019-12-31,,12,1869.0
60,2020-01-31,,1,1471.0
61,2020-02-29,,2,1431.2
62,2020-03-31,,3,1668.6
63,2020-04-30,,4,1093.5
64,2020-05-31,,5,1092.4
65,2020-06-30,,6,1637.1
66,2020-07-31,,7,1342.4
67,2020-08-31,,8,673.7
68,2020-09-30,,9,1377.6
69,2020-10-31,,10,1343.3
70,2020-11-30,,11,1676.4
71,2020-12-31,,12,1293.6
72,2021-01-31,,1,1342.7
73,2021-02-28,,2,1420.3
74,2021-03-31,,3,2013.2
75,2021-04-30,,4,1709.3
76,2021-05-31,,5,2202.8
77,2021-06-30,,6,1766.6
78,2021-07-31,,7,1651.4
79,2021-08-31,,8,2021.5
80,2021-09-30,,9,1626.9
81,2021-10-31,,10,1828.0
82,2021-11-30,,11,2181.1
83,2021-12-31,,12,2236.4
84,2022-01-31,,1,3091.8
85,2022-02-28,,2,2567.7
86,2022-03-31,,3,2683.1
87,2022-04-30,,4,2890.0
88,2022-05-31,,5,3802.3
89,2022-06-30,,6,3167.8
90,2022-07-31,,7,3123.3999999999996
91,2022-08-31,,8,3121.2
92,2022-09-30,,9,3132.3
93,2022-10-31,,10,3680.5
94,2022-11-30,,11,2786.1
