STATISTIC Label,Month,Consumer Item,UNIT,VALUE
National Average Price,2011 December,Butter per lb,Euro,
National Average Price,2012 January,Butter per lb,Euro,2.769
National Average Price,2012 February,Butter per lb,Euro,2.771
National Average Price,2012 March,Butter per lb,Euro,2.769
National Average Price,2012 April,Butter per lb,Euro,2.768
National Average Price,2012 May,Butter per lb,Euro,2.778
National Average Price,2012 June,Butter per lb,Euro,2.785
National Average Price,2012 July,Butter per lb,Euro,2.768
National Average Price,2012 August,Butter per lb,Euro,2.735
National Average Price,2012 September,Butter per lb,Euro,2.611
National Average Price,2012 October,Butter per lb,Euro,2.73
National Average Price,2012 November,Butter per lb,Euro,2.732
National Average Price,2012 December,Butter per lb,Euro,2.753
National Average Price,2013 January,Butter per lb,Euro,2.75
National Average Price,2013 February,Butter per lb,Euro,2.734
National Average Price,2013 March,Butter per lb,Euro,2.717
National Average Price,2013 April,Butter per lb,Euro,2.741
National Average Price,2013 May,Butter per lb,Euro,2.718
National Average Price,2013 June,Butter per lb,Euro,2.742
National Average Price,2013 July,Butter per lb,Euro,2.739
National Average Price,2013 August,Butter per lb,Euro,2.742
National Average Price,2013 September,Butter per lb,Euro,2.784
National Average Price,2013 October,Butter per lb,Euro,2.783
National Average Price,2013 November,Butter per lb,Euro,2.785
National Average Price,2013 December,Butter per lb,Euro,2.783
National Average Price,2014 January,Butter per lb,Euro,2.783
National Average Price,2014 February,Butter per lb,Euro,2.797
National Average Price,2014 March,Butter per lb,Euro,2.763
National Average Price,2014 April,Butter per lb,Euro,2.764
National Average Price,2014 May,Butter per lb,Euro,2.742
National Average Price,2014 June,Butter per lb,Euro,2.748
National Average Price,2014 July,Butter per lb,Euro,2.762
National Average Price,2014 August,Butter per lb,Euro,2.762
National Average Price,2014 September,Butter per lb,Euro,2.751
National Average Price,2014 October,Butter per lb,Euro,2.729
National Average Price,2014 November,Butter per lb,Euro,2.738
National Average Price,2014 December,Butter per lb,Euro,2.727
National Average Price,2015 January,Butter per lb,Euro,2.727
National Average Price,2015 February,Butter per lb,Euro,2.716
National Average Price,2015 March,Butter per lb,Euro,2.751
National Average Price,2015 April,Butter per lb,Euro,2.735
National Average Price,2015 May,Butter per lb,Euro,2.716
National Average Price,2015 June,Butter per lb,Euro,2.728
National Average Price,2015 July,Butter per lb,Euro,2.73
National Average Price,2015 August,Butter per lb,Euro,2.725
National Average Price,2015 September,Butter per lb,Euro,2.732
National Average Price,2015 October,Butter per lb,Euro,2.734
National Average Price,2015 November,Butter per lb,Euro,2.719
National Average Price,2015 December,Butter per lb,Euro,2.725
National Average Price,2016 January,Butter per lb,Euro,2.727
National Average Price,2016 February,Butter per lb,Euro,2.72
National Average Price,2016 March,Butter per lb,Euro,2.698
National Average Price,2016 April,Butter per lb,Euro,2.7
National Average Price,2016 May,Butter per lb,Euro,2.689
National Average Price,2016 June,Butter per lb,Euro,2.647
National Average Price,2016 July,Butter per lb,Euro,2.661
National Average Price,2016 August,Butter per lb,Euro,2.655
National Average Price,2016 September,Butter per lb,Euro,2.654
National Average Price,2016 October,Butter per lb,Euro,2.653
National Average Price,2016 November,Butter per lb,Euro,2.655
National Average Price,2016 December,Butter per lb,Euro,2.654
National Average Price,2017 January,Butter per lb,Euro,2.658
National Average Price,2017 February,Butter per lb,Euro,2.65
National Average Price,2017 March,Butter per lb,Euro,2.813
National Average Price,2017 April,Butter per lb,Euro,2.848
National Average Price,2017 May,Butter per lb,Euro,2.852
National Average Price,2017 June,Butter per lb,Euro,2.856
National Average Price,2017 July,Butter per lb,Euro,2.891
National Average Price,2017 August,Butter per lb,Euro,2.95
National Average Price,2017 September,Butter per lb,Euro,2.916
National Average Price,2017 October,Butter per lb,Euro,2.967
National Average Price,2017 November,Butter per lb,Euro,2.921
