STATISTIC Label,Month,Product,UNIT,VALUE
Production of Dairy Products,1980 January,Cheese,000 Tonnes,0
Production of Dairy Products,1980 January,Butter,000 Tonnes,1.8
Production of Dairy Products,1980 January,Skimmed Milk Powder,000 Tonnes,1.6
Production of Dairy Products,1980 February,Cheese,000 Tonnes,0.2
Production of Dairy Products,1980 February,Butter,000 Tonnes,4.4
Production of Dairy Products,1980 February,Skimmed Milk Powder,000 Tonnes,4.4
Production of Dairy Products,1980 March,Cheese,000 Tonnes,1.7
Production of Dairy Products,1980 March,Butter,000 Tonnes,8.7
Production of Dairy Products,1980 March,Skimmed Milk Powder,000 Tonnes,9
Production of Dairy Products,1980 April,Cheese,000 Tonnes,1.9
Production of Dairy Products,1980 April,Butter,000 Tonnes,13.7
Production of Dairy Products,1980 April,Skimmed Milk Powder,000 Tonnes,17.8
Production of Dairy Products,1980 May,Cheese,000 Tonnes,2.6
Production of Dairy Products,1980 May,Butter,000 Tonnes,17.3
Production of Dairy Products,1980 May,Skimmed Milk Powder,000 Tonnes,28.7
Production of Dairy Products,1980 June,Cheese,000 Tonnes,2.5
Production of Dairy Products,1980 June,Butter,000 Tonnes,15.5
Production of Dairy Products,1980 June,Skimmed Milk Powder,000 Tonnes,24.2
Production of Dairy Products,1980 July,Cheese,000 Tonnes,2.4
Production of Dairy Products,1980 July,Butter,000 Tonnes,14.6
Production of Dairy Products,1980 July,Skimmed Milk Powder,000 Tonnes,24.1
Production of Dairy Products,1980 August,Cheese,000 Tonnes,2.2
Production of Dairy Products,1980 August,Butter,000 Tonnes,12.2
Production of Dairy Products,1980 August,Skimmed Milk Powder,000 Tonnes,13.9
Production of Dairy Products,1980 September,Cheese,000 Tonnes,2.2
Production of Dairy Products,1980 September,Butter,000 Tonnes,9.7
Production of Dairy Products,1980 September,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,1980 October,Cheese,000 Tonnes,1.8
Production of Dairy Products,1980 October,Butter,000 Tonnes,8
Production of Dairy Products,1980 October,Skimmed Milk Powder,000 Tonnes,5.1
Production of Dairy Products,1980 November,Cheese,000 Tonnes,0.5
Production of Dairy Products,1980 November,Butter,000 Tonnes,3.5
Production of Dairy Products,1980 November,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1980 December,Cheese,000 Tonnes,0.1
Production of Dairy Products,1980 December,Butter,000 Tonnes,1.6
Production of Dairy Products,1980 December,Skimmed Milk Powder,000 Tonnes,1.2
Production of Dairy Products,1981 January,Cheese,000 Tonnes,0
Production of Dairy Products,1981 January,Butter,000 Tonnes,1.8
Production of Dairy Products,1981 January,Skimmed Milk Powder,000 Tonnes,1.9
Production of Dairy Products,1981 February,Cheese,000 Tonnes,0.3
Production of Dairy Products,1981 February,Butter,000 Tonnes,4.7
Production of Dairy Products,1981 February,Skimmed Milk Powder,000 Tonnes,5
Production of Dairy Products,1981 March,Cheese,000 Tonnes,2
Production of Dairy Products,1981 March,Butter,000 Tonnes,9.4
Production of Dairy Products,1981 March,Skimmed Milk Powder,000 Tonnes,8.6
Production of Dairy Products,1981 April,Cheese,000 Tonnes,6.8
Production of Dairy Products,1981 April,Butter,000 Tonnes,13.4
Production of Dairy Products,1981 April,Skimmed Milk Powder,000 Tonnes,18.8
Production of Dairy Products,1981 May,Cheese,000 Tonnes,9.2
Production of Dairy Products,1981 May,Butter,000 Tonnes,15.2
Production of Dairy Products,1981 May,Skimmed Milk Powder,000 Tonnes,26.4
Production of Dairy Products,1981 June,Cheese,000 Tonnes,9.4
Production of Dairy Products,1981 June,Butter,000 Tonnes,16.3
Production of Dairy Products,1981 June,Skimmed Milk Powder,000 Tonnes,23.2
Production of Dairy Products,1981 July,Cheese,000 Tonnes,10.3
Production of Dairy Products,1981 July,Butter,000 Tonnes,14.9
Production of Dairy Products,1981 July,Skimmed Milk Powder,000 Tonnes,21.4
Production of Dairy Products,1981 August,Cheese,000 Tonnes,7.9
Production of Dairy Products,1981 August,Butter,000 Tonnes,12.9
Production of Dairy Products,1981 August,Skimmed Milk Powder,000 Tonnes,17.2
Production of Dairy Products,1981 September,Cheese,000 Tonnes,7.6
Production of Dairy Products,1981 September,Butter,000 Tonnes,10.2
Production of Dairy Products,1981 September,Skimmed Milk Powder,000 Tonnes,9.4
Production of Dairy Products,1981 October,Cheese,000 Tonnes,3.2
Production of Dairy Products,1981 October,Butter,000 Tonnes,8.4
Production of Dairy Products,1981 October,Skimmed Milk Powder,000 Tonnes,6.5
Production of Dairy Products,1981 November,Cheese,000 Tonnes,0.4
Production of Dairy Products,1981 November,Butter,000 Tonnes,3.4
Production of Dairy Products,1981 November,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,1981 December,Cheese,000 Tonnes,0.2
Production of Dairy Products,1981 December,Butter,000 Tonnes,1.6
Production of Dairy Products,1981 December,Skimmed Milk Powder,000 Tonnes,1.8
Production of Dairy Products,1982 January,Cheese,000 Tonnes,0.1
Production of Dairy Products,1982 January,Butter,000 Tonnes,2.1
Production of Dairy Products,1982 January,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,1982 February,Cheese,000 Tonnes,0.5
Production of Dairy Products,1982 February,Butter,000 Tonnes,5.3
Production of Dairy Products,1982 February,Skimmed Milk Powder,000 Tonnes,7.1
Production of Dairy Products,1982 March,Cheese,000 Tonnes,2.5
Production of Dairy Products,1982 March,Butter,000 Tonnes,10.3
Production of Dairy Products,1982 March,Skimmed Milk Powder,000 Tonnes,10.2
Production of Dairy Products,1982 April,Cheese,000 Tonnes,7.3
Production of Dairy Products,1982 April,Butter,000 Tonnes,14.8
Production of Dairy Products,1982 April,Skimmed Milk Powder,000 Tonnes,17.1
Production of Dairy Products,1982 May,Cheese,000 Tonnes,9.8
Production of Dairy Products,1982 May,Butter,000 Tonnes,18.7
Production of Dairy Products,1982 May,Skimmed Milk Powder,000 Tonnes,27.4
Production of Dairy Products,1982 June,Cheese,000 Tonnes,10.1
Production of Dairy Products,1982 June,Butter,000 Tonnes,19.5
Production of Dairy Products,1982 June,Skimmed Milk Powder,000 Tonnes,27.2
Production of Dairy Products,1982 July,Cheese,000 Tonnes,9.3
Production of Dairy Products,1982 July,Butter,000 Tonnes,16.3
Production of Dairy Products,1982 July,Skimmed Milk Powder,000 Tonnes,20.8
Production of Dairy Products,1982 August,Cheese,000 Tonnes,8.3
Production of Dairy Products,1982 August,Butter,000 Tonnes,13.9
Production of Dairy Products,1982 August,Skimmed Milk Powder,000 Tonnes,12.9
Production of Dairy Products,1982 September,Cheese,000 Tonnes,6.3
Production of Dairy Products,1982 September,Butter,000 Tonnes,13
Production of Dairy Products,1982 September,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1982 October,Cheese,000 Tonnes,2.6
Production of Dairy Products,1982 October,Butter,000 Tonnes,10.8
Production of Dairy Products,1982 October,Skimmed Milk Powder,000 Tonnes,6.5
Production of Dairy Products,1982 November,Cheese,000 Tonnes,0.2
Production of Dairy Products,1982 November,Butter,000 Tonnes,5.4
Production of Dairy Products,1982 November,Skimmed Milk Powder,000 Tonnes,3.7
Production of Dairy Products,1982 December,Cheese,000 Tonnes,0
Production of Dairy Products,1982 December,Butter,000 Tonnes,2.7
Production of Dairy Products,1982 December,Skimmed Milk Powder,000 Tonnes,2.5
Production of Dairy Products,1983 January,Cheese,000 Tonnes,0.1
Production of Dairy Products,1983 January,Butter,000 Tonnes,3.2
Production of Dairy Products,1983 January,Skimmed Milk Powder,000 Tonnes,4.3
Production of Dairy Products,1983 February,Cheese,000 Tonnes,0.8
Production of Dairy Products,1983 February,Butter,000 Tonnes,6.7
Production of Dairy Products,1983 February,Skimmed Milk Powder,000 Tonnes,7
Production of Dairy Products,1983 March,Cheese,000 Tonnes,2.9
Production of Dairy Products,1983 March,Butter,000 Tonnes,13.2
Production of Dairy Products,1983 March,Skimmed Milk Powder,000 Tonnes,14.6
Production of Dairy Products,1983 April,Cheese,000 Tonnes,6.6
Production of Dairy Products,1983 April,Butter,000 Tonnes,17.6
Production of Dairy Products,1983 April,Skimmed Milk Powder,000 Tonnes,21.7
Production of Dairy Products,1983 May,Cheese,000 Tonnes,9.6
Production of Dairy Products,1983 May,Butter,000 Tonnes,22.1
Production of Dairy Products,1983 May,Skimmed Milk Powder,000 Tonnes,30.9
Production of Dairy Products,1983 June,Cheese,000 Tonnes,10.1
Production of Dairy Products,1983 June,Butter,000 Tonnes,22.9
Production of Dairy Products,1983 June,Skimmed Milk Powder,000 Tonnes,31
