"ISO 3","Country ID","Country","Trade Value","Trade Value 2","Trade Value Growth Value","Trade Value Growth"
"ken","afken","Kenya",159,0,159,100
"nga","afnga","Nigeria",10,235,-225,-95.74468085106383
"chn","aschn","China",2432,0,2432,100
"ind","asind","India",60,0,60,100
"sgp","assgp","Singapore",77,568,-491,-86.44366197183099
"tur","astur","Turkey",278,750,-472,-62.93333333333333
"aut","euaut","Austria",158,8695,-8537,-98.1828637147786
"bel","eubel","Belgium",273561,1623759,-1350198,-83.15261070146494
"deu","eudeu","Germany",184832,3370570,-3185738,-94.51629843023584
"dnk","eudnk","Denmark",5257.000000000001,9.000000000000002,5248.000000000001,58311.11111111112
"esp","euesp","Spain",884,0,884,100
"fra","eufra","France",219745.99999999997,13592300,-13372554,-98.38330525370982
"gbr","eugbr","United Kingdom",21345475,12421170,8924305,71.84753932198014
"hrv","euhrv","Croatia",780.9999999999999,0,780.9999999999999,100
"ita","euita","Italy",2259,4829,-2570,-53.22012839097121
"ltu","eultu","Lithuania",129591.00000000001,37380,92211.00000000001,246.685393258427
"nld","eunld","Netherlands",13470741.000000002,4622135,8848606.000000002,191.43980000584148
"pol","eupol","Poland",729676,399529,330147,82.634051595754
"prt","euprt","Portugal",570,306,264,86.27450980392157
"rou","eurou","Romania",26595,859.0000000000001,25736,2996.04190919674
"svk","eusvk","Slovakia",17439,1622,15817,975.1541307028359
"usa","nausa","United States",13.999999999999998,4262,-4248,-99.6715157203191
"nzl","ocnzl","New Zealand",95527,5917.999999999999,89609,1514.1770868536669
