STATISTIC,Statistic Label,TLIST(A1),Year,C02064V02491,Product Type,UNIT,VALUE
ABA02C01,Usable Dairy Production,1992,1992,3,Cheese,Tonnes,94
ABA02C01,Usable Dairy Production,1992,1992,4,Butter,Tonnes,144
ABA02C01,Usable Dairy Production,1992,1992,5,Cream,Tonnes,21
ABA02C01,Usable Dairy Production,1992,1992,6,Milk Powder,Tonnes,157
ABA02C01,Usable Dairy Production,1992,1992,11,Drinking Milk & Buttermilk,Tonnes,615
ABA02C01,Usable Dairy Production,1993,1993,3,Cheese,Tonnes,93
ABA02C01,Usable Dairy Production,1993,1993,4,Butter,Tonnes,139
ABA02C01,Usable Dairy Production,1993,1993,5,Cream,Tonnes,21
ABA02C01,Usable Dairy Production,1993,1993,6,Milk Powder,Tonnes,166
ABA02C01,Usable Dairy Production,1993,1993,11,Drinking Milk & Buttermilk,Tonnes,615
ABA02C01,Usable Dairy Production,1994,1994,3,Cheese,Tonnes,93
ABA02C01,Usable Dairy Production,1994,1994,4,Butter,Tonnes,140
ABA02C01,Usable Dairy Production,1994,1994,5,Cream,Tonnes,22
ABA02C01,Usable Dairy Production,1994,1994,6,Milk Powder,Tonnes,161
ABA02C01,Usable Dairy Production,1994,1994,11,Drinking Milk & Buttermilk,Tonnes,611
ABA02C01,Usable Dairy Production,1995,1995,3,Cheese,Tonnes,85
ABA02C01,Usable Dairy Production,1995,1995,4,Butter,Tonnes,154
ABA02C01,Usable Dairy Production,1995,1995,5,Cream,Tonnes,22
ABA02C01,Usable Dairy Production,1995,1995,6,Milk Powder,Tonnes,140
ABA02C01,Usable Dairy Production,1995,1995,11,Drinking Milk & Buttermilk,Tonnes,610
ABA02C01,Usable Dairy Production,1996,1996,3,Cheese,Tonnes,104
ABA02C01,Usable Dairy Production,1996,1996,4,Butter,Tonnes,154
ABA02C01,Usable Dairy Production,1996,1996,5,Cream,Tonnes,22
ABA02C01,Usable Dairy Production,1996,1996,6,Milk Powder,Tonnes,152
ABA02C01,Usable Dairy Production,1996,1996,11,Drinking Milk & Buttermilk,Tonnes,614
ABA02C01,Usable Dairy Production,1997,1997,3,Cheese,Tonnes,101
ABA02C01,Usable Dairy Production,1997,1997,4,Butter,Tonnes,150
ABA02C01,Usable Dairy Production,1997,1997,5,Cream,Tonnes,22
ABA02C01,Usable Dairy Production,1997,1997,6,Milk Powder,Tonnes,140
ABA02C01,Usable Dairy Production,1997,1997,11,Drinking Milk & Buttermilk,Tonnes,608
ABA02C01,Usable Dairy Production,1998,1998,3,Cheese,Tonnes,95
ABA02C01,Usable Dairy Production,1998,1998,4,Butter,Tonnes,141
ABA02C01,Usable Dairy Production,1998,1998,5,Cream,Tonnes,24
ABA02C01,Usable Dairy Production,1998,1998,6,Milk Powder,Tonnes,132
ABA02C01,Usable Dairy Production,1998,1998,11,Drinking Milk & Buttermilk,Tonnes,617
ABA02C01,Usable Dairy Production,1999,1999,3,Cheese,Tonnes,102
ABA02C01,Usable Dairy Production,1999,1999,4,Butter,Tonnes,146
ABA02C01,Usable Dairy Production,1999,1999,5,Cream,Tonnes,23
ABA02C01,Usable Dairy Production,1999,1999,6,Milk Powder,Tonnes,129
ABA02C01,Usable Dairy Production,1999,1999,11,Drinking Milk & Buttermilk,Tonnes,604
ABA02C01,Usable Dairy Production,2000,2000,3,Cheese,Tonnes,99
ABA02C01,Usable Dairy Production,2000,2000,4,Butter,Tonnes,145
ABA02C01,Usable Dairy Production,2000,2000,5,Cream,Tonnes,21
ABA02C01,Usable Dairy Production,2000,2000,6,Milk Powder,Tonnes,121
ABA02C01,Usable Dairy Production,2000,2000,11,Drinking Milk & Buttermilk,Tonnes,593
ABA02C01,Usable Dairy Production,2001,2001,3,Cheese,Tonnes,123
ABA02C01,Usable Dairy Production,2001,2001,4,Butter,Tonnes,140
ABA02C01,Usable Dairy Production,2001,2001,5,Cream,Tonnes,21
ABA02C01,Usable Dairy Production,2001,2001,6,Milk Powder,Tonnes,120
ABA02C01,Usable Dairy Production,2001,2001,11,Drinking Milk & Buttermilk,Tonnes,602
ABA02C01,Usable Dairy Production,2002,2002,3,Cheese,Tonnes,116
ABA02C01,Usable Dairy Production,2002,2002,4,Butter,Tonnes,145
ABA02C01,Usable Dairy Production,2002,2002,5,Cream,Tonnes,20
ABA02C01,Usable Dairy Production,2002,2002,6,Milk Powder,Tonnes,124
ABA02C01,Usable Dairy Production,2002,2002,11,Drinking Milk & Buttermilk,Tonnes,599
ABA02C01,Usable Dairy Production,2003,2003,3,Cheese,Tonnes,112
ABA02C01,Usable Dairy Production,2003,2003,4,Butter,Tonnes,150
ABA02C01,Usable Dairy Production,2003,2003,5,Cream,Tonnes,19
ABA02C01,Usable Dairy Production,2003,2003,6,Milk Powder,Tonnes,111
ABA02C01,Usable Dairy Production,2003,2003,11,Drinking Milk & Buttermilk,Tonnes,594
ABA02C01,Usable Dairy Production,2004,2004,3,Cheese,Tonnes,118
ABA02C01,Usable Dairy Production,2004,2004,4,Butter,Tonnes,145
ABA02C01,Usable Dairy Production,2004,2004,5,Cream,Tonnes,20
