Statistic Label,Year,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1992,Domestic,Million Litres,5105.9
Intake of Cows Milk by Creameries and Pasteurisers,1992,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993,Domestic,Million Litres,5052.1
Intake of Cows Milk by Creameries and Pasteurisers,1993,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994,Domestic,Million Litres,5119.5
Intake of Cows Milk by Creameries and Pasteurisers,1994,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995,Domestic,Million Litres,5135.9
Intake of Cows Milk by Creameries and Pasteurisers,1995,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1996,Domestic,Million Litres,5144.3
Intake of Cows Milk by Creameries and Pasteurisers,1996,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1997,Domestic,Million Litres,5104.7
Intake of Cows Milk by Creameries and Pasteurisers,1997,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1998,Domestic,Million Litres,4944.4
Intake of Cows Milk by Creameries and Pasteurisers,1998,Import,Million Litres,281.8
Intake of Cows Milk by Creameries and Pasteurisers,1999,Domestic,Million Litres,4973.3
Intake of Cows Milk by Creameries and Pasteurisers,1999,Import,Million Litres,360.6
Intake of Cows Milk by Creameries and Pasteurisers,2000,Domestic,Million Litres,5011.5
Intake of Cows Milk by Creameries and Pasteurisers,2000,Import,Million Litres,304.2
Intake of Cows Milk by Creameries and Pasteurisers,2001,Domestic,Million Litres,5178.7
Intake of Cows Milk by Creameries and Pasteurisers,2001,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2002,Domestic,Million Litres,5032.3
Intake of Cows Milk by Creameries and Pasteurisers,2002,Import,Million Litres,278.5
Intake of Cows Milk by Creameries and Pasteurisers,2003,Domestic,Million Litres,5157
Intake of Cows Milk by Creameries and Pasteurisers,2003,Import,Million Litres,348.9
Intake of Cows Milk by Creameries and Pasteurisers,2004,Domestic,Million Litres,5116
Intake of Cows Milk by Creameries and Pasteurisers,2004,Import,Million Litres,377.3
Intake of Cows Milk by Creameries and Pasteurisers,2005,Domestic,Million Litres,4915.3
Intake of Cows Milk by Creameries and Pasteurisers,2005,Import,Million Litres,550.3
Intake of Cows Milk by Creameries and Pasteurisers,2006,Domestic,Million Litres,5073.74
Intake of Cows Milk by Creameries and Pasteurisers,2006,Import,Million Litres,565.9
Intake of Cows Milk by Creameries and Pasteurisers,2007,Domestic,Million Litres,5074.11
Intake of Cows Milk by Creameries and Pasteurisers,2007,Import,Million Litres,473
Intake of Cows Milk by Creameries and Pasteurisers,2008,Domestic,Million Litres,4943.2
Intake of Cows Milk by Creameries and Pasteurisers,2008,Import,Million Litres,463.92
Intake of Cows Milk by Creameries and Pasteurisers,2009,Domestic,Million Litres,4785.43
Intake of Cows Milk by Creameries and Pasteurisers,2009,Import,Million Litres,427.23
Intake of Cows Milk by Creameries and Pasteurisers,2010,Domestic,Million Litres,5173.41
Intake of Cows Milk by Creameries and Pasteurisers,2010,Import,Million Litres,387.7
Intake of Cows Milk by Creameries and Pasteurisers,2011,Domestic,Million Litres,5377
Intake of Cows Milk by Creameries and Pasteurisers,2011,Import,Million Litres,356.1
Intake of Cows Milk by Creameries and Pasteurisers,2012,Domestic,Million Litres,5232.4
Intake of Cows Milk by Creameries and Pasteurisers,2012,Import,Million Litres,405.7
Intake of Cows Milk by Creameries and Pasteurisers,2013,Domestic,Million Litres,5422.7
Intake of Cows Milk by Creameries and Pasteurisers,2013,Import,Million Litres,410.5
Intake of Cows Milk by Creameries and Pasteurisers,2014,Domestic,Million Litres,5648.5
Intake of Cows Milk by Creameries and Pasteurisers,2014,Import,Million Litres,511.1
Intake of Cows Milk by Creameries and Pasteurisers,2015,Domestic,Million Litres,6395.2
