,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @DewsReporter: The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families during the…","RT @DewsReporter: The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families during the…",0.0,0.0,positive,,,,
1,"@PhyJoEnterprise Oh.......lessee

Smooth
Miracle Whip
Irish Butter
Room Temp
Definitely 'Mean Tweets'     .... 'cau… https://t.co/hR9GXVLhTG","@PhyJoEnterprise Oh.......lessee

Smooth
Miracle Whip
Irish Butter
Room Temp
Definitely 'Mean Tweets'     .... 'cau… https://t.co/hR9GXVLhTG",0.029166666666666674,0.3958333333333333,positive,,,,
2,"@bipolar_aries @x6ixx_ @ez3ll @Lewis_Ryan321 @blackstudiesbae This doesn’t even include butter, milk and garlic for… https://t.co/nTX5RYHCp1","@bipolar_aries @x6ixx_ @ez3ll @Lewis_Ryan321 @blackstudiesbae This doesn’t even include butter, milk and garlic for… https://t.co/nTX5RYHCp1",0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,"@HeatherAntos Not super weird, except for maybe my reasoning. Peanut butter on Eggos instead of maple syrup. It mea… https://t.co/IJoGnJF6FF","@HeatherAntos Not super weird, except for maybe my reasoning. Peanut butter on Eggos instead of maple syrup. It mea… https://t.co/IJoGnJF6FF",-0.3333333333333333,0.8333333333333333,negative,,,,
5,"@JustinTrudeau Right that's why a bag of milk, a carton of 12eggs and bread and a thing of butter cost me $44.59 right","@JustinTrudeau Right that's why a bag of milk, a carton of 12eggs and bread and a thing of butter cost me $44.59 right",0.2857142857142857,0.5357142857142857,neutral,0.0,1.0,0.0,0.0
8,"The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families durin… https://t.co/gQv8uWNRMk","The UK’s leading community food organisation, @TeamTBBT, has joined forces with @wagamama_uk to help families durin… https://t.co/gQv8uWNRMk",0.0,0.0,positive,,,,
9,@ariszsalleh Bro should be ok because the cost of butter is high we got to understand their cost too,@ariszsalleh Bro should be ok because the cost of butter is high we got to understand their cost too,0.33,0.52,positive,,,,
10,"@spaceangel1964 @exilefromgroggs @OBR_UK Sunak just disingenuous .Fails to acknowledge that whilst inflation , as Y… https://t.co/0gljokfAoC","@spaceangel1964 @exilefromgroggs @OBR_UK Sunak just disingenuous .Fails to acknowledge that whilst inflation , as Y… https://t.co/0gljokfAoC",0.0,0.0,negative,,,,
11,@buzzandhum @A_G_Hawkins I once convinced my sister that the microwave did this if you put things in on low. Cost u… https://t.co/cq96nbdeXX,@buzzandhum @A_G_Hawkins I once convinced my sister that the microwave did this if you put things in on low. Cost u… https://t.co/cq96nbdeXX,0.0,0.3,positive,,,,
12,"Core #inflation in 2022 is predicted to be around 32%, with significant increases in the #cost of fuel, eggs, flour… https://t.co/JJ2TEfDwkV","Core #inflation in 2022 is predicted to be around 32%, with significant increases in the #cost of fuel, eggs, flour… https://t.co/JJ2TEfDwkV",0.375,0.875,positive,,,,
