"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afben","Benin","ben",7921
"af","Africa","afbfa","Burkina Faso","bfa",142082
"af","Africa","afbwa","Botswana","bwa",3649
"af","Africa","afciv","Cote d'Ivoire","civ",54138
"af","Africa","afcmr","Cameroon","cmr",982
"af","Africa","afcod","Democratic Republic of the Congo","cod",3659
"af","Africa","afdza","Algeria","dza",93
"af","Africa","afegy","Egypt","egy",2912893
"af","Africa","afeth","Ethiopia","eth",28876
"af","Africa","afgha","Ghana","gha",821971.0000000001
"af","Africa","afken","Kenya","ken",262545
"af","Africa","afmar","Morocco","mar",23180
"af","Africa","afmdg","Madagascar","mdg",3
"af","Africa","afmoz","Mozambique","moz",13105
"af","Africa","afmus","Mauritius","mus",1625
"af","Africa","afmwi","Malawi","mwi",690
"af","Africa","afnam","Namibia","nam",79451
"af","Africa","afnga","Nigeria","nga",3017.0000000000005
"af","Africa","afrwa","Rwanda","rwa",63035.99999999999
"af","Africa","afsdn","Sudan","sdn",1085
"af","Africa","afsen","Senegal","sen",55934
"af","Africa","aftgo","Togo","tgo",25519
"af","Africa","aftun","Tunisia","tun",3881.9999999999995
"af","Africa","aftza","Tanzania","tza",5305.999999999999
"af","Africa","afuga","Uganda","uga",9520860
"af","Africa","afzaf","South Africa","zaf",9322453
"af","Africa","afzmb","Zambia","zmb",21041
"af","Africa","afzwe","Zimbabwe","zwe",9948
"as","Asia","asafg","Afghanistan","afg",11020.999999999998
"as","Asia","asare","United Arab Emirates","are",18323465
"as","Asia","asarm","Armenia","arm",236319.99999999997
"as","Asia","asaze","Azerbaijan","aze",1716562.0000000002
"as","Asia","asbgd","Bangladesh","bgd",554910
"as","Asia","asbhr","Bahrain","bhr",40372.99999999999
"as","Asia","asbrn","Brunei","brn",62668
"as","Asia","aschn","China","chn",4427430
"as","Asia","ascyp","Cyprus","cyp",16107602
"as","Asia","asgeo","Georgia","geo",7631664
"as","Asia","ashkg","Hong Kong","hkg",4553309
"as","Asia","asidn","Indonesia","idn",697247
"as","Asia","asind","India","ind",100334541
"as","Asia","asirn","Iran","irn",532868
"as","Asia","asirq","Iraq","irq",56247
"as","Asia","asisr","Israel","isr",7625921.999999999
"as","Asia","asjor","Jordan","jor",266423
"as","Asia","asjpn","Japan","jpn",1521898
"as","Asia","askaz","Kazakhstan","kaz",6082753
"as","Asia","askgz","Kyrgyzstan","kgz",17143235
"as","Asia","askor","South Korea","kor",652973
"as","Asia","askwt","Kuwait","kwt",443133
"as","Asia","aslbn","Lebanon","lbn",181471
"as","Asia","aslka","Sri Lanka","lka",769504
"as","Asia","asmac","Macau","mac",11954
"as","Asia","asmmr","Burma","mmr",61456
"as","Asia","asmng","Mongolia","mng",3128
"as","Asia","asmys","Malaysia","mys",22223172
"as","Asia","asnpl","Nepal","npl",208839
"as","Asia","asomn","Oman","omn",72002
"as","Asia","aspak","Pakistan","pak",453135
"as","Asia","asphl","Philippines","phl",413001
"as","Asia","aspse","Palestine","pse",601983
"as","Asia","assau","Saudi Arabia","sau",36636371
"as","Asia","assgp","Singapore","sgp",8191020
"as","Asia","assyr","Syria","syr",1340871.9999999998
